ACAN Acanthaceae medvekörömfélék
PONTE Pontederiaceae vízijácintfélék
PORT Portulacaceae porcsinfélék
PRIM Primulaceae kankalinfélék
PROT Proteaceae próteafélék
PTERI Pteridiaceae saspáfrányfélék
RANU Ranunculaceae boglárkafélék
RESE Resedaceae rezedafélék
RHAM Rhamnaceae bengefélék
RHIZO Rhizophoraceae mangrovefélék
ROSA Rosaceae rózsafélék
RUBI Rubiaceae buzérfélék
RUTA Rutaceae rutafélék
SALIC Salicaceae fűzfélék
SALVI Salviniaceae rucaörömfélék
SANTA Santalaceae szantálfafélék
SAPIN Sapindaceae szappanfafélék
SAPO Sapotaceae szapotafélék
SARR Sarraceniaceae kürtvirágfélék
SAUR Saururaceae gyíkfarkfélék
SAXI Saxifragaceae kőtörőfűfélék
SCIAD Sciadopithyaceae ernyőfenyőfélék
SCRO Scrophulariaceae tátogatófélék
SMILA Smilacaceae szárcsaliánfélék
SOLA Solanaceae burgonyafélék
STACH Stachyuraceae zászlóvirágfélék
STAPH Staphyleaceae hólyagfafélék
STIL Stilbaceae fokföldihangafélék
STRE Strelitziaceae papagájvirágfélék
STYRA Styracaceae sztóraxfafélék
TACCA Taccaceae macskabajuszfélék
TAMA Tamaricaceae tamariskafélék
TAXA Taxaceae tiszafafélék
TECO Tecophilaeaceae kéksáfrányfélék
THELY Thelypteridaceae tőzegpáfrányfélék
THYM Thymeleaceae boroszlánfélék
TYPH Typhaceae gyékényfélék
ULMA Ulmaceae szilfélék
URTI Urticaceae csalánfélék
VERB Verbenaceae verbénafélék
VIOL Violaceae ibolyafélék
VITA Vitaceae szőlőfélék
WELW Welwitschiaceae velvícsiafélék
WOOD Woodsiaceae szirtipáfrányfélék
XANTH Xanthorrheaceae sárgagyantafafélék
ZAMI Zamiaceae bunkóspálmafélék
ZING Zingiberaceae gyömbérfélék
ZYGO Zygophyllaceae királydinnyefélék
