input_name,gbif_matched_scientificName,gbif_accepted_usageKey,wfo_match_id,wfo_accepted_name,gbif_native_countries,gbif_native_country_codes,gbif_native_total_records,gbif_native_sampled_records,gbif_native_confidence
Dischidia platyphylla Schltr.,Dischidia platyphylla Schltr.,3582027,wfo-0000651732,Dischidia platyphylla Schltr.,,,0,0,none
Dischidia subulata Warb. Dischidia cordifolia,Dischidia subulata Warb.,7312659,wfo-0000651779,Dischidia subulata Warb.,,,0,0,none
Dischidia vidalii Becc. ,Dischidia vidalii Becc.,8017070,wfo-0000651795,Dischidia vidalii Becc.,,,0,0,none
Elaeis guineensis Jacq,Elaeis guineensis Jacq.,2731882,wfo-0000947985,Elaeis guineensis Jacq.,"Afghanistan | Angola | Bahamas | Benin | Brazil | Burkina Faso | Cameroon | Congo, Democratic Republic of the | Croatia | Cuba | Côte d’Ivoire | Equatorial Guinea | France | French Polynesia | Gabon | Germany | Ghana | Guinea | Guinea-Bissau | Honduras | India | Indonesia | Kenya | Liberia | Madagascar | Micronesia (Federated States of) | Nigeria | Panama | Philippines | Puerto Rico | Sao Tome and Principe | Sierra Leone | South Africa | Sri Lanka | Suriname | Tanzania, United Republic of | Thailand | Trinidad and Tobago | United Kingdom of Great Britain and Northern Ireland | United States of America | Viet Nam",AF | AO | BF | BJ | BR | BS | CD | CI | CM | CU | DE | FM | FR | GA | GB | GH | GN | GQ | GW | HN | HR | ID | IN | KE | LK | LR | MG | NG | PA | PF | PH | PR | SL | SR | ST | TH | TT | TZ | US | VN | ZA,162,162,medium
Elettaria ensal (Gaertn.) Abeyw.,Elettaria ensal (Gaertn.) Abeyw.,2759860,wfo-0000406519,Elettaria ensal (Gaertn.) Abeyw.,Sri Lanka,LK,1,1,very_low
Epidendum ciliare L.,Epidendrum ciliare L.,5320796,wfo-0000949799,Epidendrum ciliare L.,Brazil | Mexico | Nicaragua,BR | MX | NI,44,44,low
Epiphyllum anguliger (Lem.) G.Don,Epiphyllum anguliger (Lem.) G.Don,10771315,wfo-0001430590,Disocactus anguliger (Lem.) M.A.Cruz & S.Arias,Mexico,MX,1,1,very_low
Epiphyllum chrysocardium Alex.,Epiphyllum chrysocardium Alexander,5621256,wfo-0000670160,Epiphyllum chrysocardium Alexander,,,0,0,none
Epiphyllum oxypetalum (DC.) Haw.,Epiphyllum oxypetalum (DC.) Haw.,5384031,wfo-0000670203,Epiphyllum oxypetalum (DC.) Haw.,,,0,0,none
Erythroxylum coca Lam,Erythroxylum coca Lam.,2873939,wfo-0000679758,Erythroxylum coca Lam.,Austria | Bolivia (Plurinational State of) | Brazil | China | Colombia | Germany | Peru | Sri Lanka,AT | BO | BR | CN | CO | DE | LK | PE,90,90,medium
Euphorbia leuconeura Boiss,Euphorbia leuconeura Boiss.,3066177,wfo-0000963021,Euphorbia leuconeura Boiss.,,,0,0,none
Euterpe oleracea Mart.,Euterpe oleracea Mart.,5293398,wfo-0000965687,Euterpe oleracea Mart.,Brazil | Colombia | Ecuador,BR | CO | EC,147,147,medium
Ficus benghalensis L.,Ficus benghalensis L.,5361919,wfo-0000687501,Ficus benghalensis L.,Australia | India | Myanmar | United States of America,AU | IN | MM | US,7,7,very_low
Ficus cyathistipula Warb,Ficus cyathistipula Warb.,7262354,wfo-0000688019,Ficus cyathistipula Warb.,,,0,0,none
Ficus elastica Roxb. ex Hornem. 'De la Rouche',Ficus elastica Roxb. ex Hornem.,7835333,wfo-0000688216,Ficus elastica Roxb. ex Hornem.,Brazil | India | Indonesia | Papua New Guinea | Philippines | Spain | Vanuatu,BR | ES | ID | IN | PG | PH | VU,8,8,very_low
Ficus elastica Roxb. ex Hornem. 'Melani',Ficus elastica Roxb. ex Hornem.,7835333,wfo-0000688216,Ficus elastica Roxb. ex Hornem.,Brazil | India | Indonesia | Papua New Guinea | Philippines | Spain | Vanuatu,BR | ES | ID | IN | PG | PH | VU,8,8,very_low
Ficus lyrata Warb.,Ficus lyrata Warb.,5361899,wfo-0001084874,Ficus lyrata Warb.,,,0,0,none
Ficus obliqua Forst.,Ficus obliqua G.Forst.,7262513,wfo-0000689487,Ficus obliqua G.Forst.,Australia | Fiji | Papua New Guinea | Tonga | Vanuatu,AU | FJ | PG | TO | VU,85,85,medium
Ficus rubiginosa Desf. ex Vent.,Ficus rubiginosa Desf. ex Vent.,5361929,wfo-0000690111,Ficus rubiginosa Desf. ex Vent.,Australia | United States of America,AU | US,229,229,high
Ficus rubiginosa Desf. ex Vent. 'Variegata',Ficus rubiginosa Desf. ex Vent.,5361929,wfo-0000690111,Ficus rubiginosa Desf. ex Vent.,Australia | United States of America,AU | US,229,229,high
Flacourtia flavescens Willd.,Flacourtia flavescens Willd.,5331162,wfo-0000925655,Flacourtia indica (Burm.f.) Merr.,,,0,0,none
Globba schomburgkii Hook.f.,Globba schomburgkii Hook.f.,2757889,wfo-0000430660,Globba schomburgkii Hook.f.,,,0,0,none
Harpullia arborea (Blanco) Radlk,Harpullia arborea (Blanco) Radlk.,3190016,wfo-0000715815,Harpullia arborea (Blanco) Radlk.,Australia | Indonesia | Papua New Guinea | Philippines | Solomon Islands | Timor-Leste | Tonga | Vanuatu,AU | ID | PG | PH | SB | TL | TO | VU,29,29,low
Hatiora pentaptera (Pfeiff. ex A. Dietr.) Lem.,Hatiora pentaptera (Pfeiff. ex A.Dietr.) Lem.,3945739,wfo-0001287051,Rhipsalis pentaptera Pfeiff. ex A.Dietr.,Brazil,BR,3,3,very_low
Hatiora salicornioides Britton et Rose.,Hatiora salicornioides Britton & Rose,7280906,wfo-0000716171,Hatiora salicornioides (Haw.) Britton & Rose,Brazil,BR,453,453,high
Hedychium coronarium J.G.Koenig.,Hedychium coronarium J.Koenig,7883492,wfo-0000435787,Hedychium coronarium J.Koenig,Australia | Chinese Taipei,AU | TW,2,2,very_low
Hedychium gardnerianum Ker.-gawl.,Hedychium gardnerianum Sheph. ex Ker Gawl.,2758700,wfo-0000435987,Hedychium gardnerianum Sheph. ex Ker Gawl.,United States of America,US,2,2,very_low
Hedychium horsfieldii R.Br. ex Wall.,Hedychium horsfieldii R.Br. ex Wall.,2758650,wfo-0000436106,Hedychium horsfieldii Wall.,,,0,0,none
Heliconia 'Olympic Flame',Heliconia L.,2760545,wfo-4000017228,Heliconia L.,,,3192,0,high
Heliconia rostrata Ruiz et Pav.,Heliconia rostrata Ruiz & Pav.,2760967,wfo-0000438784,Heliconia rostrata Ruiz & Pav.,Brazil | Colombia | Ecuador | Peru,BR | CO | EC | PE,92,92,medium
Hoffmannia ghiesberghtii (Lem.) Hemsl.,Hoffmannia ghiesbreghtii (Lem.) Hemsl.,5335448,wfo-0000982612,Hoffmannia ghiesbreghtii (Lem.) Hemsl.,,,0,0,none
Hoffmannia ghiesberghtii (Lem.) Hemsl.,Hoffmannia ghiesbreghtii (Lem.) Hemsl.,5335448,wfo-0000982612,Hoffmannia ghiesbreghtii (Lem.) Hemsl.,,,0,0,none
Hura crepitans L.,Hura crepitans L.,5380015,wfo-0000215711,Hura crepitans L.,Bolivia (Plurinational State of) | Brazil | Colombia | Peru | Suriname | United States of America | Venezuela (Bolivarian Republic of),BO | BR | CO | PE | SR | US | VE,117,117,medium
Hylocereus megalanthus (K.Schum.) Ralf Bauer,Hylocereus megalanthus (K.Schum. ex Vaupel) Ralf Bauer,3942259,wfo-0001288022,Selenicereus megalanthus (K.Schum. ex Vaupel) Moran,,,0,0,none
Hylocereus undatus (Haw.) Britton et Rose.,Hylocereus undatus (Haw.) Britton & Rose,10334868,wfo-0001434109,Selenicereus undatus (Haw.) D.R.Hunt,Spain,ES,9,9,very_low
Isolepis cernua (Vahl) Roem. et Schukt.,Isolepis cernua (Vahl) Roem. & Schult.,2713316,wfo-0000448337,Isolepis cernua (Vahl) Roem. & Schult.,Australia | Brazil | Chile | Colombia | New Zealand | Norfolk Island | Portugal | Spain | United States of America | unknown or invalid,AU | BR | CL | CO | ES | NF | NZ | PT | US | ZZ,1031,900,high
Justicia brandegeana Wassh. & L.B.Sm.,Justicia brandegeeana Wassh. & L.B.Sm.,3173122,wfo-0000354190,Justicia brandegeeana Wassh. & L.B.Sm.,Brazil | Croatia | Mexico | United States of America,BR | HR | MX | US,95,95,medium
Justicia carnea Lindl.,Justicia carnea Lindl.,3770188,wfo-0000354735,Justicia carnea Lindl.,Argentina | Brazil,AR | BR,994,900,high
Khaya grandifolia C.DC.,Khaya grandifoliola C.DC.,3852039,wfo-0000357001,Khaya grandifoliola C.DC.,,,0,0,none
Kigelia pinnata (Jacq.) DC.,Kigelia pinnata (Jacq.) DC.,7298549,wfo-0000919059,Kigelia africana subsp. africana,,,1,1,very_low
Kohleria hirsuta (HBK) Reg.,Kohleria hirsuta (Kunth) Regel,6365157,wfo-0000357724,Kohleria hirsuta (Kunth) Regel,,,0,0,none
Lagerstroemia speciosa (L.) Pers.,Lagerstroemia speciosa (L.) Pers.,3188724,wfo-0000366693,Lagerstroemia speciosa (L.) Pers.,India | Indonesia | Myanmar | Sri Lanka,ID | IN | LK | MM,6,6,very_low
Mangifera indica L. 'Irwin',Mangifera indica L.,3190638,wfo-0000371248,Mangifera indica L.,Australia | Bhutan | Chinese Taipei | Colombia | India | Malaysia,AU | BT | CO | IN | MY | TW,14,14,low
Mangifera indica L. 'Kensington',Mangifera indica L.,3190638,wfo-0000371248,Mangifera indica L.,Australia | Bhutan | Chinese Taipei | Colombia | India | Malaysia,AU | BT | CO | IN | MY | TW,14,14,low
Mangifera indica L. 'Osteen',Mangifera indica L.,3190638,wfo-0000371248,Mangifera indica L.,Australia | Bhutan | Chinese Taipei | Colombia | India | Malaysia,AU | BT | CO | IN | MY | TW,14,14,low
Medinilla magnifica Lindl.,Medinilla magnifica Lindl.,3188507,wfo-0001082446,Medinilla magnifica Lindl.,,,0,0,none
Nephelium lappaceum,Nephelium lappaceum L.,5421126,wfo-0000381268,Nephelium lappaceum L.,,,0,0,none
Mimosa aculeaticarpa Ortega,Mimosa aculeaticarpa Ortega,2969973,wfo-0000169632,Mimosa aculeaticarpa Ortega,United States of America,US,2,2,very_low
Mimosa polycarpa Kanth. var. spegazzinii (Pirrota) Burkart.,Mimosa polycarpa var. spegazzinii (Pirotta) Burkart,2969639,wfo-0000169804,Mimosa polycarpa var. spegazzinii (Pirotta) Burkart,Argentina | Bolivia (Plurinational State of) | Brazil | Paraguay,AR | BO | BR | PY,160,160,medium
Morinda citriodora l,Morinda L.,2915429,wfo-4000024850,Morinda L.,Australia | China | Chinese Taipei | Colombia | French Polynesia | Indonesia | New Caledonia | Papua New Guinea | Samoa | Seychelles | Thailand | Timor-Leste | Tonga,AU | CN | CO | ID | NC | PF | PG | SC | TH | TL | TO | TW | WS,107,107,medium
Murraya paniculata (L.) Jack,Murraya paniculata (L.) Jack,8190743,wfo-0000453279,Murraya paniculata (L.) Jack,Australia | China | Chinese Taipei | Papua New Guinea | United Kingdom of Great Britain and Northern Ireland,AU | CN | GB | PG | TW,68,68,medium
Musa coccinea Andrews,Musa coccinea Andrews,2762920,wfo-0000474224,Musa coccinea Andrews,Afghanistan | Brazil | China | Honduras | Indonesia | Philippines | Puerto Rico | Viet Nam,AF | BR | CN | HN | ID | PH | PR | VN,18,18,low
Musa velutina Wendl. et Drude,Musa velutina H.Wendl. & Drude,2762971,wfo-0000475207,Musa velutina H.Wendl. & Drude,Afghanistan | Costa Rica | India | Trinidad and Tobago | United States of America,AF | CR | IN | TT | US,8,8,very_low
Musa x nana 'Cavendishii',Musa nana Lour.,3750363,wfo-0000474616,Musa nana Lour.,,,0,0,none
Musa x paradisiaca L. 'Aple',Musa × paradisiaca L.,2762752,wfo-0000474656,Musa × paradisiaca L.,Brazil | Colombia | Spain | United States of America,BR | CO | ES | US,10,10,low
Musa x paradisiaca L. 'Kreol',Musa × paradisiaca L.,2762752,wfo-0000474656,Musa × paradisiaca L.,Brazil | Colombia | Spain | United States of America,BR | CO | ES | US,10,10,low
Musa x paradisiaca L. 'Pakovan',Musa × paradisiaca L.,2762752,wfo-0000474656,Musa × paradisiaca L.,Brazil | Colombia | Spain | United States of America,BR | CO | ES | US,10,10,low
Musa x paradisiaca L. 'Prata Ana',Musa × paradisiaca L.,2762752,wfo-0000474656,Musa × paradisiaca L.,Brazil | Colombia | Spain | United States of America,BR | CO | ES | US,10,10,low
Musa x paradisiaca L. 'Pray',Musa × paradisiaca L.,2762752,wfo-0000474656,Musa × paradisiaca L.,Brazil | Colombia | Spain | United States of America,BR | CO | ES | US,10,10,low
Musa x paradisiaca L. 'Red',Musa × paradisiaca L.,2762752,wfo-0000474656,Musa × paradisiaca L.,Brazil | Colombia | Spain | United States of America,BR | CO | ES | US,10,10,low
Musa x paradisiaca L. ssp. seminifera Bak.,Musa paradisiaca subsp. seminifera (Lour.) Baker,3750389,wfo-0000475069,Musa seminifera Lour.,,,0,0,none
Musa x paradisiaca L. 'Valerie',Musa × paradisiaca L.,2762752,wfo-0000474656,Musa × paradisiaca L.,Brazil | Colombia | Spain | United States of America,BR | CO | ES | US,10,10,low
Nautilocalyx lynchii Hook.f.,Nautilocalyx lynchii (Hook.fil.) Sprague,3820178,wfo-0001064811,Nautilocalyx lynchii (Hook.f.) Sprague,Brazil,BR,1,1,very_low
Neptunia plena (L.) Benth.,Neptunia plena (L.) Benth.,5353568,wfo-0000174148,Neptunia plena (L.) Benth.,Australia | Bolivia (Plurinational State of) | Brazil | Chinese Taipei | Ecuador | Guyana | Mexico | Paraguay | Peru,AU | BO | BR | EC | GY | MX | PE | PY | TW,490,490,high
