input_name,gbif_matched_scientificName,gbif_accepted_usageKey,wfo_match_id,wfo_accepted_name,gbif_native_countries,gbif_native_country_codes,gbif_native_total_records,gbif_native_sampled_records,gbif_native_confidence,wfo_native_areas_found_in,wfo_native_countries,wfo_url
Acacia collinsii Saff.,Acacia collinsii Saff.,3795578,wfo-0001277422,Vachellia collinsii (Saff.) Seigler & Ebinger,,,0,0,none,Northern America Mexico Mexico Gulf | Northern America | Mexico | Mexico Gulf | Mexico Southeast | Mexico Southwest | Southern America Caribbean Southwest Caribbean | Southern America | Caribbean | Southwest Caribbean | Central America Belize | Central America | Belize | Costa Rica | El Salvador | Guatemala | Honduras | Nicaragua | Panamá,Mexico | United Kingdom | Belize | Costa Rica | El Salvador | Guatemala | Honduras | Nicaragua | Brazil | Cuba,https://www.worldfloraonline.org/taxon/wfo-0001277422
Acalypha hispida Burm.f.,Acalypha hispida Burm.f.,3056375,wfo-0000950668,Acalypha hispida Burm.f.,Christmas Island | Colombia,CO | CX,2,2,very_low,Asia-Tropical Papuasia Bismarck Archipelago | Asia-Tropical | Papuasia | Bismarck Archipelago,Papua New Guinea,https://www.worldfloraonline.org/taxon/wfo-0000950668
Acorus gramineus Ait. 'Variegatus',Acorus gramineus Aiton,2873807,wfo-0000352676,Acorus gramineus Aiton,Chinese Taipei | Japan | Viet Nam,JP | TW | VN,11,11,low,Asia-Temperate China China North-Central | Asia-Temperate | China | China North-Central | China South-Central | China Southeast | Hainan | Inner Mongolia | Qinghai | Tibet | Xinjiang | Eastern Asia Japan | Eastern Asia | Japan | Korea | Taiwan | Russian Far East Primorye | Russian Far East | Primorye | Asia-Tropical Indian Subcontinent Bangladesh | Asia-Tropical | Indian Subcontinent | Bangladesh | East Himalaya | Indo-China Cambodia | Indo-China | Cambodia | Laos | Myanmar | Thailand | Vietnam | Malesia Philippines | Malesia | Philippines,People's Republic of China | Taiwan | Tibet | United States | Japan | Korea | Russia | Bangladesh | Cambodia | Laos | Myanmar | Thailand | Vietnam | Indonesia | Singapore | Timor-Leste | Malaysia | Brunei | Philippines,https://www.worldfloraonline.org/taxon/wfo-0000352676
Adenanthera microsperma Teijsm. et Binn.,Adenanthera microsperma Teijsm. & Binn.,2951851,wfo-0000187373,Adenanthera microsperma Teijsm. & Binn.,,,0,0,none,Asia-Temperate China China South-Central | Asia-Temperate | China | China South-Central | China Southeast | Hainan | Eastern Asia Taiwan | Eastern Asia | Taiwan | Asia-Tropical Indo-China Andaman Is. | Asia-Tropical | Indo-China | Andaman Is. | Cambodia | Laos (Doubtful) | Myanmar | Nicobar Is. | Thailand (Doubtful) | Vietnam | Malesia Borneo | Malesia | Borneo | Jawa | Lesser Sunda Is. | Malaya | Sumatera,People's Republic of China | Taiwan | Cambodia | Myanmar | Vietnam | Indonesia | Singapore | Timor-Leste | Malaysia | Thailand | Brunei | Philippines | Canada | Netherlands | Nigeria | Russia,https://www.worldfloraonline.org/taxon/wfo-0000187373
Aglaonema costatum N.E.Br.,Aglaonema costatum N.E.Br.,2866357,wfo-0000917172,Aglaonema costatum N.E.Br.,,,0,0,none,Asia-Tropical Indian Subcontinent Bangladesh | Asia-Tropical | Indian Subcontinent | Bangladesh | Indo-China Cambodia | Indo-China | Cambodia | Laos | Thailand | Vietnam | Malesia Malaya | Malesia | Malaya | Provided by: | [B].The World Checklist of Vascular Plants (WCVP) | Synonyms | Aglaonema costatum f. concolor Nicolson | Aglaonema costatum f. concolor | Nicolson | Aglaonema costatum f. costatum | Aglaonema costatum f. foxii (Engl.) Jervis | Aglaonema costatum f. foxii | (Engl.) Jervis | Aglaonema costatum f. immaculatum (Ridl.) Nicolson | Aglaonema costatum f. immaculatum | (Ridl.) Nicolson | Aglaonema costatum f. virescens (Ridl. ex Engl.) Nicolson | Aglaonema costatum f. virescens | (Ridl. ex Engl.) Nicolson | Aglaonema costatum var. foxii Engl. | Aglaonema costatum var. foxii | Engl. | Aglaonema costatum var. immaculatum Ridl. | Aglaonema costatum var. immaculatum | Ridl. | Aglaonema costatum var. lineatum Engl. | Aglaonema costatum var. lineatum | Aglaonema costatum var. maculatum Engl. | Aglaonema costatum var. maculatum | Aglaonema costatum var. virescens Ridl. ex Engl. | Aglaonema costatum var. virescens | Ridl. ex Engl. | [A].Araceae,Bangladesh | Cambodia | Laos | Thailand | Vietnam | Indonesia | Singapore | Timor-Leste | Malaysia | Myanmar | Brunei | Philippines | Russia,https://www.worldfloraonline.org/taxon/wfo-0000917172
Aglaonema modestum Schott ex Engl.,Aglaonema modestum Schott ex Engl.,2866488,wfo-0000921877,Aglaonema modestum Schott ex Engl.,,,0,0,none,Asia-Temperate China China South-Central | Asia-Temperate | China | China South-Central | China Southeast | Asia-Tropical Indian Subcontinent Bangladesh | Asia-Tropical | Indian Subcontinent | Bangladesh | Indo-China Cambodia | Indo-China | Cambodia | Laos | Thailand | Vietnam | Provided by: | [C].The World Checklist of Vascular Plants (WCVP) | Synonyms | Aglaonema acutispathum N.E.Br. | Aglaonema acutispathum | N.E.Br. | Aglaonema costatum var. viride Engl. | Aglaonema costatum var. viride | Engl. | Aglaonema laoticum Gagnep. | Aglaonema laoticum | Gagnep. | [A].Araceae,Bangladesh | Cambodia | Laos | Thailand | Vietnam,https://www.worldfloraonline.org/taxon/wfo-0000921877
Aglaonema nitidum (Jack) Kunth 'Silver King',Aglaonema nitidum (Jack) Kunth,2866438,wfo-0000922580,Aglaonema nitidum (Jack) Kunth,,,0,0,none,Asia-Tropical Indo-China Myanmar | Asia-Tropical | Indo-China | Myanmar | Thailand | Vietnam | Malesia Borneo | Malesia | Borneo | Jawa | Malaya | Sumatera,Myanmar | Thailand | Vietnam | Indonesia | Singapore | Timor-Leste | Malaysia | Brunei | Philippines | Canada | Netherlands | Nigeria | Russia,https://www.worldfloraonline.org/taxon/wfo-0000922580
Allamanda schottii Pohl.,Allamanda schottii Pohl,3169838,wfo-0000943350,Allamanda,Brazil,BR,124,124,medium,,,https://www.worldfloraonline.org/taxon/wfo-0000943350
Alpinia purpurata (Viell.) Schum.,Alpinia purpurata (Vieill.) K.Schum.,5301960,wfo-0000338713,Alpinia purpurata (Vieill.) K.Schum.,Fiji | French Polynesia,FJ | PF,3,3,very_low,,,https://www.worldfloraonline.org/taxon/wfo-0000338713
Alpinia vittata Bull.,Alpinia vittata W.Bull,5302160,wfo-0000338842,Alpinia vittata W.Bull,,,0,0,none,,,https://www.worldfloraonline.org/taxon/wfo-0000338842
Alpinia zerumbet (Pers.) B. L. Burtt et Rosemary M. Sm.,Alpinia zerumbet (Pers.) B.L.Burtt & R.M.Sm.,5301979,wfo-0000338850,Alpinia zerumbet (Pers.) B.L.Burtt & R.M.Sm.,Chinese Taipei,TW,49,49,low,,,https://www.worldfloraonline.org/taxon/wfo-0000338850
Alpinia zerumbet (Pers.) B. L. Burtt et Rosemary M. Sm. 'Variegata',Alpinia zerumbet (Pers.) B.L.Burtt & R.M.Sm.,5301979,wfo-0000338850,Alpinia zerumbet (Pers.) B.L.Burtt & R.M.Sm.,Chinese Taipei,TW,49,49,low,,,https://www.worldfloraonline.org/taxon/wfo-0000338850
Ananas comosus (L.) Merr.,Ananas comosus (L.) Merr.,5288819,wfo-0000339432,Ananas comosus (L.) Merr.,Afghanistan | Argentina | Bolivia (Plurinational State of) | Brazil | Colombia | France | French Guiana | Guyana | Paraguay | Suriname | Venezuela (Bolivarian Republic of),AF | AR | BO | BR | CO | FR | GF | GY | PY | SR | VE,1236,900,high,Southern America Brazil Brazil North | Southern America | Brazil | Brazil North | Brazil Northeast | Alagoas | Bahia | Paraába | Pernambuco | Rio Grande do Norte | Sergipe | Brazil South | Brazil Southeast | Brazil West-Central | Central America Costa Rica | Central America | Costa Rica | Panamá | Northern South America French Guiana | Northern South America | French Guiana | Guyana | Suriname | Venezuela | Southern South America Argentina Northeast | Southern South America | Argentina Northeast | Paraguay | Western South America Bolivia | Western South America | Bolivia | Colombia | Ecuador | Peru,Brazil | Costa Rica | Cuba | France | Guyana | Suriname | Venezuela | Paraguay | Bolivia | Colombia | Ecuador | Peru,https://www.worldfloraonline.org/taxon/wfo-0000339432
Angraecum eburneum Bory,Angraecum eburneum Bory,2833834,wfo-0000976619,Angraecum eburneum Bory,Seychelles,SC,16,16,low,Africa East Tropical Africa Kenya | Africa | East Tropical Africa | Kenya | Tanzania | Western Indian Ocean Aldabra | Western Indian Ocean | Aldabra | Comoros | Madagascar | Mauritius | Réunion | Seychelles | Provided by: | [C].The World Checklist of Vascular Plants (WCVP) | Included Subspecies | Angraecum eburneum subsp. eburneum | Angraecum eburneum subsp. giryamae (Rendle) Senghas & P.J.Cribb | Angraecum eburneum subsp. giryamae | (Rendle) Senghas & P.J.Cribb | Angraecum eburneum subsp. superbum (Thouars) H.Perrier | Angraecum eburneum subsp. superbum | (Thouars) H.Perrier | Angraecum eburneum subsp. xerophilum H.Perrier | Angraecum eburneum subsp. xerophilum | H.Perrier | [A].Orchidaceae | Synonyms | Angorchis eburnea (Bory) Kuntze | Angorchis eburnea | (Bory) Kuntze | Angorkis eburnangis Thouars | Angorkis eburnangis | Thouars | Limodorum eburneum (Bory) Willd. | Limodorum eburneum | (Bory) Willd.,Kenya | Tanzania | Seychelles | Comoros | Madagascar | Mauritius | France,https://www.worldfloraonline.org/taxon/wfo-0000976619
Anthurium digitatum (Jacq.) G.Don f.,Anthurium digitatum (Jacq.) Schott,2872987,wfo-0000224360,Anthurium digitatum (Jacq.) Schott,,,0,0,none,Southern America Caribbean Trinidad-Tobago | Southern America | Caribbean | Trinidad-Tobago | Northern South America Venezuela | Northern South America | Venezuela | Provided by: | [B].The World Checklist of Vascular Plants (WCVP) | Synonyms | Anthurium digitatum var. connatum Engl. | Anthurium digitatum var. connatum | Engl. | Anthurium pentaphyllum var. digitatum (Jacq.) Madison | Anthurium pentaphyllum var. digitatum | (Jacq.) Madison | Pothos digitata Jacq. | Pothos digitata | Jacq. | [A].Araceae,United Kingdom | Venezuela,https://www.worldfloraonline.org/taxon/wfo-0000224360
Anthurium schlechtendalii Kunth,Anthurium schlechtendalii Kunth,2872288,wfo-0000232488,Anthurium schlechtendalii Kunth,Colombia,CO,2,2,very_low,Northern America Mexico Mexico Gulf | Northern America | Mexico | Mexico Gulf | Mexico Southeast | Mexico Southwest | Southern America Central America Belize | Southern America | Central America | Belize | Guatemala | Honduras | Nicaragua,Mexico | Belize | Guatemala | Honduras | Nicaragua,https://www.worldfloraonline.org/taxon/wfo-0000232488
Anthurium vittariifolium Engl.,Anthurium vittariifolium Engl.,2873406,wfo-0000234460,Anthurium vittariifolium Engl.,Brazil,BR,2,2,very_low,Southern America Brazil Brazil North | Southern America | Brazil | Brazil North | Acre | Western South America Colombia | Western South America | Colombia | Ecuador | Peru | Provided by: | [B].Brazilian Flora 2020 project - Projeto Flora do Brasil 2020 | [C].The World Checklist of Vascular Plants (WCVP),Brazil | Israel | Colombia | Ecuador | Peru,https://www.worldfloraonline.org/taxon/wfo-0000234460
Aristolochia fimbriata Cham.,Aristolochia fimbriata Cham.,3589582,wfo-0000547788,Aristolochia fimbriata Cham.,Argentina | Bolivia (Plurinational State of) | Brazil | Cuba | Uruguay,AR | BO | BR | CU | UY,62,62,medium,Southern America Brazil Brazil South | Southern America | Brazil | Brazil South | Paraní | Rio Grande do Sul | Santa Catarina | Southern South America Argentina Northeast | Southern South America | Argentina Northeast | Paraguay | Uruguay | Western South America Bolivia | Western South America | Bolivia,Brazil | Paraguay | Uruguay | Bolivia,https://www.worldfloraonline.org/taxon/wfo-0000547788
Aristolochia gigantea Mart. et Zucc.,Aristolochia gigantea Mart. & Zucc.,3589283,wfo-0000547827,Aristolochia,Brazil,BR,245,245,high,,,https://www.worldfloraonline.org/taxon/wfo-0000547827
Aristolochia grandiflora Sw.,Aristolochia grandiflora Sw.,2874014,wfo-0000745363,Aristolochia,,,0,0,none,,,https://www.worldfloraonline.org/taxon/wfo-0000745363
Aristolochia labiata Willd.,Aristolochia labiata Willd.,2874002,wfo-0000547955,Aristolochia labiata Willd.,Brazil,BR,559,559,high,Southern America Brazil Brazil North | Southern America | Brazil | Brazil North | Tocantins | Brazil Northeast | Alagoas | Bahia | Ceará | Pernambuco | Rio Grande do Norte | Sergipe | Brazil South | Paraní | Rio Grande do Sul | Santa Catarina | Brazil Southeast | Espirito Santo | Minas Gerais | Rio de Janeiro | São Paulo | Brazil West-Central | Brazilia Distrito Federal | Goiás | Mato Grosso do Sul,Brazil,https://www.worldfloraonline.org/taxon/wfo-0000547955
Aristolochia maxima L.,Aristolochia maxima Jacq.,2873997,wfo-0000548053,Aristolochia maxima Jacq.,Colombia,CO,3,3,very_low,Northern America Mexico Mexico Gulf | Northern America | Mexico | Mexico Gulf | Mexico Southeast | Mexico Southwest | Southern America Caribbean Windward Is. | Southern America | Caribbean | Windward Is. | Central America Belize | Central America | Belize | Costa Rica | El Salvador | Guatemala | Honduras | Nicaragua | Panamá | Northern South America Venezuela | Northern South America | Venezuela | Western South America Colombia | Western South America | Colombia,Mexico | United Kingdom | Belize | Costa Rica | El Salvador | Guatemala | Honduras | Nicaragua | Brazil | Cuba | Venezuela | Colombia,https://www.worldfloraonline.org/taxon/wfo-0000548053
Aristolochia ringens Vahl,Aristolochia ringens Vahl,2873998,wfo-0000548271,Aristolochia ringens Vahl,Australia | Colombia,AU | CO,2,2,very_low,Southern America Central America Costa Rica | Southern America | Central America | Costa Rica | El Salvador | Guatemala | Panamá | Northern South America Venezuela | Northern South America | Venezuela | Southern South America Argentina Northwest | Southern South America | Argentina Northwest | Western South America Bolivia | Western South America | Bolivia | Colombia | Ecuador | Peru,Costa Rica | El Salvador | Guatemala | Brazil | Cuba | Venezuela | Bolivia | Colombia | Ecuador | Peru,https://www.worldfloraonline.org/taxon/wfo-0000548271
Aristolochia trilobata L.,Aristolochia trilobata L.,8358388,wfo-0000548425,Aristolochia trilobata L.,Argentina | Brazil | Paraguay | Uruguay,AR | BR | PY | UY,212,212,high,Northern America Mexico Mexico Southeast | Northern America | Mexico | Mexico Southeast | Southern America Brazil Brazil North | Southern America | Brazil | Brazil North | Parí | Brazil Northeast | Alagoas | Bahia | Paraába | Pernambuco | Sergipe | Paraní | Santa Catarina | Brazil Southeast | Espirito Santo | Rio de Janeiro | São Paulo | Caribbean Bermuda | Caribbean | Bermuda | Cuba | Dominican Republic | Haiti | Jamaica | Leeward Is. | Puerto Rico | Trinidad-Tobago | Windward Is. | Central America Belize | Central America | Belize | Costa Rica | Honduras | Nicaragua | Panamá | Northern South America French Guiana | Northern South America | French Guiana | Guyana | Suriname | Venezuela | Western South America Colombia | Western South America | Colombia | Provided by: | [D].Brazilian Flora 2020 project - Projeto Flora do Brasil 2020 | [H].The World Checklist of Vascular Plants (WCVP) | Synonyms | Aristolochia appendiculata Vell. | Aristolochia appendiculata | Vell. | Aristolochia caracasana Spreng. | Aristolochia caracasana | Spreng. | Aristolochia trifida Lam. | Aristolochia trifida | Lam. | Aristolochia triloba Salisb. | Aristolochia triloba | Salisb. | Howardia trifida Klotzsch | Howardia trifida | Klotzsch | Howardia trilobata (L.) Klotzsch | Howardia trilobata | (L.) Klotzsch | Passiflora caloneura Kurz | Passiflora caloneura | Kurz | [A].Aristolochiaceae | Other Local Names | Name | Language | Country | cipó-milhomens-rabudo | Portuguese | cipó-milhomens-da-praia | jarrinha-da-praia | cipó-de-cobra | milhomes | jarrinha-de-cauda,Mexico | Brazil | United Kingdom | Cuba | Dominican Republic | Haiti | Jamaica | Belize | Costa Rica | Honduras | Nicaragua | France | Guyana | Suriname | Venezuela | Colombia | Zambia,https://www.worldfloraonline.org/taxon/wfo-0000548425
