input_name,gbif_matchType,gbif_confidence,gbif_canonicalName,gbif_genus_species,gbif_scientificName,gbif_usageKey,gbif_synonyms,gbif_synonym_count,gbif_english_name,gbif_english_names,gbif_english_name_count
Alpinia zerumbet (Pers.) B. L. Burtt et Rosemary M. Sm.,EXACT,100,Alpinia zerumbet,Alpinia zerumbet,Alpinia zerumbet (Pers.) B.L.Burtt & R.M.Sm.,5301979,Alpinia cristata Griff. | Alpinia fimbriata Gagnep. | Alpinia fluvitialis Hayata | Alpinia nutans var. longiramosa Gagnep. | Alpinia penicillata Roscoe | Alpinia schumanniana Valeton | Alpinia speciosa (J.C.Wendl.) K.Schum. | Alpinia speciosa subsp. longiramosa Gagnep. | Alpinia speciosa var. longiramosa Gagnep.,9,Shellplant,Kopi ‘enua | Sakai viro lambo | Shell Ginger | Shellplant | Tsingizo masera | kaopui | light galangal | pink porcelain-lily,8
Alpinia zerumbet (Pers.) B. L. Burtt et Rosemary M. Sm. 'Variegata',EXACT,94,Alpinia zerumbet,Alpinia zerumbet,Alpinia zerumbet (Pers.) B.L.Burtt & R.M.Sm.,5301979,Alpinia cristata Griff. | Alpinia fimbriata Gagnep. | Alpinia fluvitialis Hayata | Alpinia nutans var. longiramosa Gagnep. | Alpinia penicillata Roscoe | Alpinia schumanniana Valeton | Alpinia speciosa (J.C.Wendl.) K.Schum. | Alpinia speciosa subsp. longiramosa Gagnep. | Alpinia speciosa var. longiramosa Gagnep.,9,Shellplant,Kopi ‘enua | Sakai viro lambo | Shell Ginger | Shellplant | Tsingizo masera | kaopui | light galangal | pink porcelain-lily,8
Ananas comosus (L.) Merr.,EXACT,100,Ananas comosus,Ananas comosus,Ananas comosus (L.) Merr.,5288819,Ananas acostae C.Commelijn | Ananas bracteatus Baker | Ananas bracteatus subsp. hondurensis Bertoni | Ananas bracteatus subsp. paraguayensis Bertoni | Ananas bracteatus var. paraguayensis Bertoni | Ananas coccineus Descourt. | Ananas comosus subsp. variegatus (Lowe) Moldenke | Ananas glaber Mill. | Ananas monstrosus Baker | Ananas mordilona (Linden) E.Morren | Ananas mordilona (Linden) VanGeert | Ananas ovatus Mill. | Ananas proliferus Baker | Ananas pyramidalis Mill. | Ananas sativa Lindl. | Ananas sativus subsp. hispanorum Bertoni | Ananas sativus subsp. muricatus Mez | Ananas sativus subsp. pyramidalis Bertoni | Ananas sativus subsp. variegatus Lowe | Ananas sativus subsp. viridis (Mill.) Bertoni,20,Pineapple,"Ijibo | Mnananasi bole, Mnananasi mba | Pineapple",3
Angraecum eburneum Bory,EXACT,100,Angraecum eburneum,Angraecum eburneum,Angraecum eburneum Bory,2833834,,0,,,0
Anthurium digitatum (Jacq.) G.Don f.,EXACT,85,Anthurium digitatum,Anthurium digitatum,Anthurium digitatum (Jacq.) Schott,2872987,"Anthurium digitatum (Jacq.) G.Don, 1839 | Anthurium digitatum var. connatum Engl. | Anthurium pentaphyllum var. digitatum (Jacq.) Madison",3,,,0
Anthurium schlechtendalii Kunth,EXACT,100,Anthurium schlechtendalii,Anthurium schlechtendalii,Anthurium schlechtendalii Kunth,2872288,,0,Laceleaf,Laceleaf,1
Anthurium vittariifolium Engl.,EXACT,100,Anthurium vittariifolium,Anthurium vittariifolium,Anthurium vittariifolium Engl.,2873406,,0,,,0
Aristolochia fimbriata Cham.,EXACT,100,Aristolochia fimbriata,Aristolochia fimbriata,Aristolochia fimbriata Cham.,3589582,Aristolochia bomplandii Tenore | Aristolochia bonplandii Ten. | Aristolochia ciliata Hook. | Aristolochia ciliosa Benth. | Aristolochia insignis Verschaff.,5,,,0
Aristolochia gigantea Mart. et Zucc.,EXACT,100,Aristolochia gigantea,Aristolochia gigantea,Aristolochia gigantea Mart. & Zucc.,3589283,Aristolochia mariquitensis Mutis,1,duckflower,Brazilian Dutchman's pipe | duckflower,2
Aristolochia grandiflora Sw.,EXACT,100,Aristolochia grandiflora,Aristolochia grandiflora,Aristolochia grandiflora Sw.,2874014,Aristolochia gigantea Hook. | Aristolochia gigas Lindl. | Aristolochia gigas var. sturtevantii S.Watson | Aristolochia gorgona M.A.Blanco | Aristolochia grandiflora var. hookeri Duch. | Aristolochia pichinchensis Pfeifer | Aristolochia sturtevantii (S.Watson) Mottet | Aristolochia tapilulensis Beutelsp.,8,duckflower,Pelicanflower | duck-flower | duckflower | pelican-flower,4
Aristolochia labiata Willd.,EXACT,100,Aristolochia labiata,Aristolochia labiata,Aristolochia labiata Willd.,2874002,Aristolochia brasiliensis Mart. | Aristolochia brasiliensis var. galeata (Mart.) Hoehne | Aristolochia brasiliensis var. macrophylla Duch. | Aristolochia brasiliensis var. macrophylla Mart. | Aristolochia brasiliensis var. parviflora Duch. | Aristolochia brasiliensis var. parviflora Mart. | Aristolochia galeata Mart. & Zucc. | Aristolochia labiosa Ker Gawl. | Aristolochia labiosa KerGawl. | Aristolochia macrorrhyncha Hoehne | Aristolochia ornithocephala Hook. | Aristolochia ringens Link & Otto,12,Mottled dutchman's pipe,Mottled dutchman's pipe | rooster-flower,2
Aristolochia maxima L.,EXACT,85,Aristolochia maxima,Aristolochia maxima,Aristolochia maxima Jacq.,2873997,Aristolochia asperifolia Ule | Aristolochia asperifolia Ule ex Pilg. | Aristolochia biflora Duch. ex Klotzsch | Aristolochia biflora Willd. | Aristolochia biflora Willd. ex Duch. | Aristolochia dammeriana Mast. | Aristolochia geminiflora Kunth | Aristolochia maxima var. angustifolia Duch. | Aristolochia maxima var. geminiflora (Kunth) Duch. | Aristolochia maxima var. maxima | Aristolochia mexicana D.Dietr. | Aristolochia reticulata Holton | Aristolochia reticulata Holton ex Duch. | Aristolochia sprucei Hoehne | Aristolochia wageneriana Schltdl.,15,Florida Dutchman's Pipe,Florida Dutchman's Pipe,1
Aristolochia ringens Vahl,EXACT,100,Aristolochia ringens,Aristolochia ringens,Aristolochia ringens Vahl,2873998,Aristolochia galeata Mart. & Zucc. | Aristolochia globiflora Mutis | Aristolochia grandiflora Vahl | Aristolochia turbacensis Kunth,4,Gaping Dutchman's Pipe,Foula koukoui | Gaping Dutchman's Pipe,2
Aristolochia trilobata L.,EXACT,100,Aristolochia trilobata,Aristolochia trilobata,Aristolochia trilobata L.,8358388,Aristolochia appendiculata Vell. | Aristolochia caracasana Spreng. | Aristolochia macroura var. subtrifida Gomez | Aristolochia trifida Lam. | Aristolochia triloba Salisb.,5,Dutchman's Pipe,Bejuco De Santiago | Dutchman's Pipe,2
Aristolochia zollingeriana Miq,EXACT,100,Aristolochia zollingeriana,Aristolochia zollingeriana,Aristolochia zollingeriana Miq.,5836315,Aristolochia hastata Klotzsch | Aristolochia kankaoensis Sasaki | Aristolochia kankauensis Sasaki | Aristolochia ramosii Merr. | Aristolochia roxburghiana subsp. kankaoensis (Sasaki) Kitam. | Aristolochia roxburghiana subsp. kankauensis (Sasaki) Kitam. | Aristolochia tagala subsp. kankauensis (Sasaki) T.Yamaz. | Aristolochia tagala var. kankaoensis (Sasaki) T.Yamaz.,8,,,0
Asplenium nidus L.,EXACT,100,Asplenium nidus,Asplenium nidus,Asplenium nidus L.,2650676,Asplenium ellipticum (Fée) Copel. | Asplenium ficifolium Goldm. | Asplenium nidus var. nidus | Asplenium nidus var. plicatum Alderw. | Asplenium scolopendrium Lour. | Asplenium simplex Mett.,6,Hawai'I Birdnest Fern,Hawai'I Birdnest Fern | Katafa | bird's-nest fern | nest fern,4
Averrhoa carambola L.,EXACT,100,Averrhoa carambola,Averrhoa carambola,Averrhoa carambola L.,2891641,Averrhoa acutangula Stokes | Averrhoa microphylla Tardieu | Averrhoa pentandra Blanco,3,caramba,"Carambola | Kamranga | Madiro Rirana | Wajou Wachizoungou, Waju wamotsi | blimbing | caramba",6
Averrhoa carambola L. ’B10’,EXACT,100,Averrhoa carambola,Averrhoa carambola,Averrhoa carambola L.,2891641,Averrhoa acutangula Stokes | Averrhoa microphylla Tardieu | Averrhoa pentandra Blanco,3,caramba,"Carambola | Kamranga | Madiro Rirana | Wajou Wachizoungou, Waju wamotsi | blimbing | caramba",6
Averrhoa carambola L. 'Fwang Tung'’,EXACT,96,Averrhoa carambola,Averrhoa carambola,Averrhoa carambola L.,2891641,Averrhoa acutangula Stokes | Averrhoa microphylla Tardieu | Averrhoa pentandra Blanco,3,caramba,"Carambola | Kamranga | Madiro Rirana | Wajou Wachizoungou, Waju wamotsi | blimbing | caramba",6
Begonia listada L.B.Sm. et Wassh.,EXACT,100,Begonia listada,Begonia listada,Begonia listada L.B.Sm. & Wassh.,4157039,,0,,,0
Begonia solimutata L.B.Sm. et Wassh.,EXACT,100,Begonia solimutata,Begonia solimutata,Begonia solimutata L.B.Sm. & Wassh.,7646487,,0,,,0
Brachychilum horsfieldii (R.Br. ex Wallich) Petersen,EXACT,100,Brachychilum horsfieldii,Brachychilum horsfieldii,Brachychilum horsfieldii (R.Br. ex Wall.) Petersen,2758651,,0,,,0
Breynia nivosa (W.G.Sm.) Small.,EXACT,100,Breynia nivosa,Breynia nivosa,Breynia nivosa (W.Bull) Small,5383032,,0,,,0
Brownea latifolia Jacq.,EXACT,100,Brownea latifolia,Brownea latifolia,Brownea latifolia Jacq.,2970484,,0,,,0
Caladium bicolor (Aiton) Vent.,EXACT,100,Caladium bicolor,Caladium bicolor,Caladium bicolor (Aiton) Vent.,2868390,Caladium albicans Stange | Caladium albopunctatissimum Jacob-Makoy | Caladium albopunctatissimum Jacob-Makoy ex H.Karst. | Caladium amabile Verschaff. | Caladium amoenum Engl. | Caladium appunianum Engl. | Caladium argyrospilum Lem. | Caladium auritum Jacob-Makoy | Caladium baraquinii W.Bull | Caladium baraquinii W.Bull ex J.Dix | Caladium barilletii Anon. | Caladium barraquinii Hérincq,12,Heart of Jesus,Artist's pallet | Bonga pandrapandra mena | Heart of Jesus | Heart-of-Jesus,4
Calathea zebrina (Sims) Lindl.,EXACT,100,Calathea zebrina,Calathea zebrina,Calathea zebrina (Sims) Lindl.,2761817,,0,zebraplant,zebraplant,1
Canna glauca L.,EXACT,100,Canna glauca,Canna glauca,Canna glauca L.,5303128,Canna angustifolia L. | Canna annaei André | Canna annaei subsp. nana André | Canna fintelmannii Bouché | Canna glauca subsp. annaei (André) Petersen | Canna glauca var. angusta J.W.Richardson | Canna glauca var. annaei (André) Petersen | Canna glauca var. annaei (André) Regel | Canna glauca var. rubrolutea Hook. | Canna glauca var. rufa Sims | Canna glauca var. siamensis (Kraenzl.) Nob.Tanaka | Canna hassleriana Kraenzl. | Canna jacobiniflora T.Koyama & Nob.Tanaka | Canna lanceolata Lodd. | Canna lanceolata Lodd. ex G.Don | Canna lanceolata Lodd. ex Loudon | Canna lancifolia Schrank | Canna liturata Link | Canna liturata Link ex A.Dietr. | Canna longifolia Bouché,20,Louisiana canna,Louisiana canna | Sari tamotamo,2
Carica papaya L.,EXACT,100,Carica papaya,Carica papaya,Carica papaya L.,2874484,Carica citriformis J.Jacq. ex Spreng. | Carica citriformis Jacq. | Carica cubensis Solms | Carica hermaphrodita Blanco | Carica jamaicensis Urb. | Carica jimenezii (Bertoni) Bertoni | Carica mamaya Vell. | Carica papaya f. correae Solms | Carica papaya f. ernstii Solms | Carica papaya f. eupapaya Solms | Carica papaya f. mamaya (Vell.) Stellfeld | Carica papaya f. portoricensis (Urb.) Solms | Carica papaya var. bady Aké Assi | Carica papaya var. bady AkéAssi | Carica papaya var. jimenezii Bertoni | Carica peltata Hook. & Arn. | Carica pinnatifida Heilb. | Carica portoricensis (Solms) Urb. | Carica posopora L. | Carica posoposa L.,20,Pape,Mpwapwaia | Mpwapwayi | Papaw | Papaya | Pape,5
Carica papaya L. 'Nana',EXACT,96,Carica papaya,Carica papaya,Carica papaya L.,2874484,Carica citriformis J.Jacq. ex Spreng. | Carica citriformis Jacq. | Carica cubensis Solms | Carica hermaphrodita Blanco | Carica jamaicensis Urb. | Carica jimenezii (Bertoni) Bertoni | Carica mamaya Vell. | Carica papaya f. correae Solms | Carica papaya f. ernstii Solms | Carica papaya f. eupapaya Solms | Carica papaya f. mamaya (Vell.) Stellfeld | Carica papaya f. portoricensis (Urb.) Solms | Carica papaya var. bady Aké Assi | Carica papaya var. bady AkéAssi | Carica papaya var. jimenezii Bertoni | Carica peltata Hook. & Arn. | Carica pinnatifida Heilb. | Carica portoricensis (Solms) Urb. | Carica posopora L. | Carica posoposa L.,20,Pape,Mpwapwaia | Mpwapwayi | Papaw | Papaya | Pape,5
Carica papaya L. 'Pasar Orange',EXACT,96,Carica papaya,Carica papaya,Carica papaya L.,2874484,Carica citriformis J.Jacq. ex Spreng. | Carica citriformis Jacq. | Carica cubensis Solms | Carica hermaphrodita Blanco | Carica jamaicensis Urb. | Carica jimenezii (Bertoni) Bertoni | Carica mamaya Vell. | Carica papaya f. correae Solms | Carica papaya f. ernstii Solms | Carica papaya f. eupapaya Solms | Carica papaya f. mamaya (Vell.) Stellfeld | Carica papaya f. portoricensis (Urb.) Solms | Carica papaya var. bady Aké Assi | Carica papaya var. bady AkéAssi | Carica papaya var. jimenezii Bertoni | Carica peltata Hook. & Arn. | Carica pinnatifida Heilb. | Carica portoricensis (Solms) Urb. | Carica posopora L. | Carica posoposa L.,20,Pape,Mpwapwaia | Mpwapwayi | Papaw | Papaya | Pape,5
Carica papaya L. 'Solo',EXACT,96,Carica papaya,Carica papaya,Carica papaya L.,2874484,Carica citriformis J.Jacq. ex Spreng. | Carica citriformis Jacq. | Carica cubensis Solms | Carica hermaphrodita Blanco | Carica jamaicensis Urb. | Carica jimenezii (Bertoni) Bertoni | Carica mamaya Vell. | Carica papaya f. correae Solms | Carica papaya f. ernstii Solms | Carica papaya f. eupapaya Solms | Carica papaya f. mamaya (Vell.) Stellfeld | Carica papaya f. portoricensis (Urb.) Solms | Carica papaya var. bady Aké Assi | Carica papaya var. bady AkéAssi | Carica papaya var. jimenezii Bertoni | Carica peltata Hook. & Arn. | Carica pinnatifida Heilb. | Carica portoricensis (Solms) Urb. | Carica posopora L. | Carica posoposa L.,20,Pape,Mpwapwaia | Mpwapwayi | Papaw | Papaya | Pape,5
Carica papaya L. 'Solo-Waimanalo',EXACT,96,Carica papaya,Carica papaya,Carica papaya L.,2874484,Carica citriformis J.Jacq. ex Spreng. | Carica citriformis Jacq. | Carica cubensis Solms | Carica hermaphrodita Blanco | Carica jamaicensis Urb. | Carica jimenezii (Bertoni) Bertoni | Carica mamaya Vell. | Carica papaya f. correae Solms | Carica papaya f. ernstii Solms | Carica papaya f. eupapaya Solms | Carica papaya f. mamaya (Vell.) Stellfeld | Carica papaya f. portoricensis (Urb.) Solms | Carica papaya var. bady Aké Assi | Carica papaya var. bady AkéAssi | Carica papaya var. jimenezii Bertoni | Carica peltata Hook. & Arn. | Carica pinnatifida Heilb. | Carica portoricensis (Solms) Urb. | Carica posopora L. | Carica posoposa L.,20,Pape,Mpwapwaia | Mpwapwayi | Papaw | Papaya | Pape,5
Carica papaya L. 'Sunset',EXACT,96,Carica papaya,Carica papaya,Carica papaya L.,2874484,Carica citriformis J.Jacq. ex Spreng. | Carica citriformis Jacq. | Carica cubensis Solms | Carica hermaphrodita Blanco | Carica jamaicensis Urb. | Carica jimenezii (Bertoni) Bertoni | Carica mamaya Vell. | Carica papaya f. correae Solms | Carica papaya f. ernstii Solms | Carica papaya f. eupapaya Solms | Carica papaya f. mamaya (Vell.) Stellfeld | Carica papaya f. portoricensis (Urb.) Solms | Carica papaya var. bady Aké Assi | Carica papaya var. bady AkéAssi | Carica papaya var. jimenezii Bertoni | Carica peltata Hook. & Arn. | Carica pinnatifida Heilb. | Carica portoricensis (Solms) Urb. | Carica posopora L. | Carica posoposa L.,20,Pape,Mpwapwaia | Mpwapwayi | Papaw | Papaya | Pape,5
Castanospermum australe Raddi,EXACT,87,Castanospermum australe,Castanospermum australe,Castanospermum australe A.Cunn. ex Mudie,7579806,Castanospermum australe var. brevivexillum F.M.Bailey | Castanospermum brevivexillum (F.M.Bailey) Domin | Castanospermum cunninghamii J.M.Wood,3,beantree,Australian-chestnut | Moreton Bay-bean | Moreton Bay-chestnut | beantree | black-bean,5
Cinnamomum parthenoxylon (Jacq.) Meisn.,EXACT,100,Cinnamomum parthenoxylon,Cinnamomum parthenoxylon,Cinnamomum parthenoxylon (Jack) Meisn.,4181342,Cinnamomum barbatoaxillatum N.Chao | Cinnamomum inodorum (Blume ex Miq.) Meisn. | Cinnamomum inunctum (Nees) Meisn. | Cinnamomum malaccense Meisn. | Cinnamomum neesianum Meisn. | Cinnamomum penninervium Kosterm. | Cinnamomum porrectum (Roxb.) Kosterm. | Cinnamomum pseudosassafras (Blume) Meisn. | Cinnamomum purpureaum H.G.Ye & F.G.Wang | Cinnamomum purpureum H.G.Ye & F.G.Wang,10,Selasian Wood,huang zhang | Selasian Wood | Martaban Camphor Wood | Saffrol Laurel,4
Clerodendrum splendens G.Don. ex James,EXACT,100,Clerodendrum splendens,Clerodendrum splendens,Clerodendrum splendens G.Don,7999246,Clerodendrum aurantium G.Don | Clerodendrum giletii De Wild. & T.Durand | Clerodendrum rollisonii Rollisson | Clerodendrum splendens var. giletii (De Wild. & T.Durand) B.Thomas,4,,,0
Clerodendrum thomsoniae Balf.f.,EXACT,100,Clerodendrum thomsoniae,Clerodendrum thomsoniae,Clerodendrum thomsoniae Balf.f.,3889087,"Clerodendrum balfourii (B.D.Jacks. ex Dombrain) Dombrain | Clerodendrum delectum Pynaert | Clerodendrum thompsoniae Balf.f. | Clerodendrum thomsonae Balf., 1862 | Clerodendrum thomsoniae var. balfourii B.D.Jacks. | Clerodendrum thomsoniae var. balfourii B.D.Jacks. ex Dombrain",6,bagflower,"Bleeding glory-bower, Glory-bower, Bagflower, Bleeding-heart vine | bagflower | bleeding glory-bower | bleeding-heart vine | bleeding-heart-vine | glory-bower | glorytree",7
Clusia rosea Jacq. ’Princess’,EXACT,96,Clusia rosea,Clusia rosea,Clusia rosea Jacq.,5421060,Clusia retusa Poir. | Clusia silvicola Britton,2,pitch apple,Florida Clusia | Scotch attorney | Scotch-attorney | autographtree | balsam-apple | pitch apple,6
Coccothrinax readii H.J.Quero R.,EXACT,100,Coccothrinax readii,Coccothrinax readii,Coccothrinax readii H.J.Quero,2735226,,0,Nah-kaax,Nah-kaax | Náaj k'aax,2
Cocos nucifera L.,EXACT,100,Cocos nucifera,Cocos nucifera,Cocos nucifera L.,2735117,Cocos indica Royle | Cocos mamillaris Blanco | Cocos nana Griff. | Cocos nucifera f. palmyrensis Becc. | Cocos nucifera subsp. synphyllica Becc. | Cocos nucifera var. alangan Blume | Cocos nucifera var. alba Blume | Cocos nucifera var. angustifolia Hassk. | Cocos nucifera var. aurea Anon. | Cocos nucifera var. austera Blume | Cocos nucifera var. bego Blume | Cocos nucifera var. buri Blume | Cocos nucifera var. calimbahin Blume | Cocos nucifera var. capuliformis Blume | Cocos nucifera var. cistiformis Blume | Cocos nucifera var. como Blume | Cocos nucifera var. crassissima Blume | Cocos nucifera var. delicata Blume | Cocos nucifera var. eburnea Blume,19,Copra,Coconut | Coconut Palm | Coconut Tree | Cocore | Copra | Koko,6
Cocos nucifera L. 'King',EXACT,96,Cocos nucifera,Cocos nucifera,Cocos nucifera L.,2735117,Cocos indica Royle | Cocos mamillaris Blanco | Cocos nana Griff. | Cocos nucifera f. palmyrensis Becc. | Cocos nucifera subsp. synphyllica Becc. | Cocos nucifera var. alangan Blume | Cocos nucifera var. alba Blume | Cocos nucifera var. angustifolia Hassk. | Cocos nucifera var. aurea Anon. | Cocos nucifera var. austera Blume | Cocos nucifera var. bego Blume | Cocos nucifera var. buri Blume | Cocos nucifera var. calimbahin Blume | Cocos nucifera var. capuliformis Blume | Cocos nucifera var. cistiformis Blume | Cocos nucifera var. como Blume | Cocos nucifera var. crassissima Blume | Cocos nucifera var. delicata Blume | Cocos nucifera var. eburnea Blume,19,Copra,Coconut | Coconut Palm | Coconut Tree | Cocore | Copra | Koko,6
Cocos nucifera L. 'Maypan',EXACT,96,Cocos nucifera,Cocos nucifera,Cocos nucifera L.,2735117,Cocos indica Royle | Cocos mamillaris Blanco | Cocos nana Griff. | Cocos nucifera f. palmyrensis Becc. | Cocos nucifera subsp. synphyllica Becc. | Cocos nucifera var. alangan Blume | Cocos nucifera var. alba Blume | Cocos nucifera var. angustifolia Hassk. | Cocos nucifera var. aurea Anon. | Cocos nucifera var. austera Blume | Cocos nucifera var. bego Blume | Cocos nucifera var. buri Blume | Cocos nucifera var. calimbahin Blume | Cocos nucifera var. capuliformis Blume | Cocos nucifera var. cistiformis Blume | Cocos nucifera var. como Blume | Cocos nucifera var. crassissima Blume | Cocos nucifera var. delicata Blume | Cocos nucifera var. eburnea Blume,19,Copra,Coconut | Coconut Palm | Coconut Tree | Cocore | Copra | Koko,6
Coffea arabica L.,EXACT,100,Coffea arabica,Coffea arabica,Coffea arabica L.,2895345,Coffea arabica f. abyssinica A.Chev. | Coffea arabica subsp. abyssinica A.Chev. | Coffea arabica subsp. amarella A.Froehner | Coffea arabica subsp. angustifolia Cramer | Coffea arabica subsp. bourbon Rodr. | Coffea arabica subsp. bourbon Rodr. ex Choussy | Coffea arabica subsp. brevistipulata Cif. | Coffea arabica subsp. bullata Cramer | Coffea arabica subsp. columnaris Ottol. | Coffea arabica subsp. columnaris Ottol. ex Cramer | Coffea arabica subsp. culta A.Chev. | Coffea arabica subsp. cultoides A.Chev. | Coffea arabica subsp. erecta Ottol. | Coffea arabica subsp. erecta Ottol. ex Cramer | Coffea arabica subsp. latifolia A.Chev. | Coffea arabica subsp. longistipulata Cif. | Coffea arabica subsp. maragogype A.Froehner | Coffea arabica subsp. mokka Cramer | Coffea arabica subsp. monosperma Ottol. & Cramer | Coffea arabica subsp. murta Lalière,20,Coffee,"Arabian coffee | Arabica coffee, Arabian coffee, Coffee tree, Coffee, | Coffee | arabica coffee",4
Coffea arabica L. 'Bourbon',EXACT,96,Coffea arabica,Coffea arabica,Coffea arabica L.,2895345,Coffea arabica f. abyssinica A.Chev. | Coffea arabica subsp. abyssinica A.Chev. | Coffea arabica subsp. amarella A.Froehner | Coffea arabica subsp. angustifolia Cramer | Coffea arabica subsp. bourbon Rodr. | Coffea arabica subsp. bourbon Rodr. ex Choussy | Coffea arabica subsp. brevistipulata Cif. | Coffea arabica subsp. bullata Cramer | Coffea arabica subsp. columnaris Ottol. | Coffea arabica subsp. columnaris Ottol. ex Cramer | Coffea arabica subsp. culta A.Chev. | Coffea arabica subsp. cultoides A.Chev. | Coffea arabica subsp. erecta Ottol. | Coffea arabica subsp. erecta Ottol. ex Cramer | Coffea arabica subsp. latifolia A.Chev. | Coffea arabica subsp. longistipulata Cif. | Coffea arabica subsp. maragogype A.Froehner | Coffea arabica subsp. mokka Cramer | Coffea arabica subsp. monosperma Ottol. & Cramer | Coffea arabica subsp. murta Lalière,20,Coffee,"Arabian coffee | Arabica coffee, Arabian coffee, Coffee tree, Coffee, | Coffee | arabica coffee",4
Coffea arabica L. 'Nana',EXACT,96,Coffea arabica,Coffea arabica,Coffea arabica L.,2895345,Coffea arabica f. abyssinica A.Chev. | Coffea arabica subsp. abyssinica A.Chev. | Coffea arabica subsp. amarella A.Froehner | Coffea arabica subsp. angustifolia Cramer | Coffea arabica subsp. bourbon Rodr. | Coffea arabica subsp. bourbon Rodr. ex Choussy | Coffea arabica subsp. brevistipulata Cif. | Coffea arabica subsp. bullata Cramer | Coffea arabica subsp. columnaris Ottol. | Coffea arabica subsp. columnaris Ottol. ex Cramer | Coffea arabica subsp. culta A.Chev. | Coffea arabica subsp. cultoides A.Chev. | Coffea arabica subsp. erecta Ottol. | Coffea arabica subsp. erecta Ottol. ex Cramer | Coffea arabica subsp. latifolia A.Chev. | Coffea arabica subsp. longistipulata Cif. | Coffea arabica subsp. maragogype A.Froehner | Coffea arabica subsp. mokka Cramer | Coffea arabica subsp. monosperma Ottol. & Cramer | Coffea arabica subsp. murta Lalière,20,Coffee,"Arabian coffee | Arabica coffee, Arabian coffee, Coffee tree, Coffee, | Coffee | arabica coffee",4
Coffea canephora Pierre ex A.Froehner,EXACT,100,Coffea canephora,Coffea canephora,Coffea canephora Pierre ex A.Froehner,2895528,Coffea arabica var. stuhlmannii A.Froehner | Coffea bukobensis Zimm. | Coffea canephora Pierre | Coffea canephora f. sankuruensis De Wild. | Coffea canephora f. sankuruensis DeWild. | Coffea canephora var. crassifolia Laurent | Coffea canephora var. crassifolia Laurent ex De Wild. | Coffea canephora var. crassifolia Lautent | Coffea canephora var. crassifolia Lautent ex DeWild. | Coffea canephora var. gossweileri A.Chev. | Coffea canephora var. hiernii Pierre | Coffea canephora var. hiernii Pierre ex De Wild. | Coffea canephora var. hiernii Pierre ex DeWild. | Coffea canephora var. hinaultii Pierre | Coffea canephora var. hinaultii Pierre ex De Wild. | Coffea canephora var. hinaultii Pierre ex DeWild. | Coffea canephora var. kouilouensis De Wild. | Coffea canephora var. kouilouensis DeWild. | Coffea canephora var. laurentii (De Wild.) A.Chev. | Coffea canephora var. maclaudii (A.Chev.) A.Chev.,20,Robusta Coffee,Congo coffeetree | Conilon | Robusta Coffee | cafeiro,4
Colocasia esculenta (L.) Schott.,EXACT,100,Colocasia esculenta,Colocasia esculenta,Colocasia esculenta (L.) Schott,5330776,,0,Taro,"Bore | Coco yam | Katchu | Majimbi | Malanga | Taro | Taro, Cocoyam, Dasheen, Wild taro, Eddo, Elephant's ear | Wild Taro",8
Colvillea racemosa Bojer ex Hook.,EXACT,100,Colvillea racemosa,Colvillea racemosa,Colvillea racemosa Bojer ex Hook.,10704829,,0,,,0
Cordia myxa L. non Forssk.,EXACT,100,Cordia myxa,Cordia myxa,Cordia myxa L.,5341290,Cordia domestica Roth | Cordia domestica var. evolutior (C.B.Clarke) M.R.Almeida | Cordia evolutior (C.B.Clarke) Gamble | Cordia fulvosa Wight | Cordia fulvosa var. evolutior C.B.Clarke | Cordia latifolia Wall. | Cordia latifolia Wall. ex G.Don | Cordia myxa var. domestica (Roth) C.B.Clarke | Cordia officinalis Lam. | Cordia paniculata Roth | Cordia petta-pelioporet B.Heyne | Cordia petta-pelioporet B.Heyne ex Roth | Cordia scabrifolia Benth. | Cordia scabrifolia Benth. ex Griseb. | Cordia sebestena Forssk.,15,Lasoda,Assyrian Plum | Assyrian-plum | Clammy cherry | Indian cherry | Indian-cherry | Lasoda | Mrovu | Salelo | Sapistan plum | Sebesten,10
Couroupita guianensis Auhl.,EXACT,87,Couroupita guianensis,Couroupita guianensis,Couroupita guianensis Aubl.,3082562,Couroupita acreensis R.Knuth | Couroupita antillana Miers | Couroupita froesii R.Knuth | Couroupita guianensis var. surinamensis (Mart. ex Berg) Eyma | Couroupita idolica Dwyer | Couroupita membranacea Miers | Couroupita peruviana O.Berg | Couroupita saintcroixiana R.Knuth | Couroupita surinamensis Mart. | Couroupita surinamensis Mart. ex Berg | Couroupita venezuelensis R.Knuth,11,Cannonball Tree,Cannonball Tree,1
Ctenanthe amabilis (E.Morren) H.A.Kenn. & Nicolson,EXACT,100,Ctenanthe amabilis,Ctenanthe amabilis,Ctenanthe amabilis (É.Morren) H.Kenn. & Nicolson,2762431,,0,,,0
Cubanola domingensis (Britton) Aiella,EXACT,100,Cubanola domingensis,Cubanola domingensis,Cubanola domingensis (Britton) Aiello,2893015,,0,,,0
Curculigo capitulata (Lour.) Kantze.,EXACT,88,Curculigo capitulata,Curculigo capitulata,Curculigo capitulata (Lour.) Kuntze,2852556,Curculigo foliis-variegatis Pynaert | Curculigo fuziwarae Yamam. | Curculigo glabra Merr. | Curculigo recurvata Dryand. | Curculigo recurvata W.T.Aiton | Curculigo recurvata var. variegatea W.Bull | Curculigo strobiliformis D.Fang & D.H.Qin | Curculigo sumatrana Roxb.,8,palm-grass,palm-grass,1
