input_name,gbif_matchType,gbif_confidence,gbif_canonicalName,gbif_genus_species,gbif_scientificName,gbif_usageKey,gbif_synonyms,gbif_synonym_count,gbif_english_name,gbif_english_names,gbif_english_name_count
Rauvolfia tetraphylla,EXACT,100,Rauvolfia tetraphylla,Rauvolfia tetraphylla,Rauvolfia tetraphylla L.,3169782,Rauvolfia canescens L. | Rauvolfia canescens var. glabra Müll.Arg. | Rauvolfia canescens var. intermedia Markgr. | Rauvolfia canescens var. tomentosa Müll.Arg. | Rauvolfia canescens var. typica Markgr. | Rauvolfia heterophylla Willd. | Rauvolfia heterophylla Willd. ex Roem. & Schult. | Rauvolfia heterophylla var. puberula A.Gray | Rauvolfia hirsuta Jacq. | Rauvolfia hirsuta var. glabra (Müll.Arg.) Woodson | Rauvolfia latifolia var. minor Müll.Arg. | Rauvolfia nitida Sessé & Moc. | Rauvolfia odontophora Van Heurck & Müll.Arg. | Rauvolfia subpubescens L. | Rauvolfia tomentosa Jacq.,15,milkbush,Be Still Tree | devil's-pepper | devil-pepper | four-leaf devil's-pepper | four-leaf devil-pepper | milkbush,6
Ravenala madagascariensis Sonn.,EXACT,100,Ravenala madagascariensis,Ravenala madagascariensis,Ravenala madagascariensis Sonn.,2763095,"Ravenala madagascariensis J.F.Gmel., 1791",1,"Traveller's tree, Traveller's palm","Falafa, Ravinala | Traveller's tree, Traveller's palm",2
Rhipsalis baccifera (J.S.Muell.) Stearn,EXACT,100,Rhipsalis baccifera,Rhipsalis baccifera,Rhipsalis baccifera (J.S.Muell.) Stearn,3084036,Rhipsalis bermejensis F.Ritter | Rhipsalis cassutha Gaertn. | Rhipsalis corallioides Rauh | Rhipsalis delphinensis Barthlott | Rhipsalis pendula Pfeiff. | Rhipsalis pilosa F.A.C.Weber ex K.Schum.,6,Mistletoe Cactus,Duhudumna rubban | Mistletoe Cactus | Tjimoe | Touifafa keli | Tyimu | botowatowa | etschwela lo boliki,7
Rhipsalis cereuscula Haw.,EXACT,100,Rhipsalis cereuscula,Rhipsalis cereuscula,Rhipsalis cereuscula Haw.,7659514,Rhipsalis brachiata Hook. | Rhipsalis cereuscula var. rubrodisca (Loefgr.) Castell. | Rhipsalis cribrata N.E.Br. | Rhipsalis penduliflora N.E.Br. | Rhipsalis saglionis (Lem.) Otto | Rhipsalis saglionis (Lem.) Otto ex Walp. | Rhipsalis saglionis var. rubrodisca Loefgr. | Rhipsalis simmleri Beauverd,8,Rice Cactus,Rice Cactus,1
Rhipsalis pilocarpa Loefgr.,EXACT,100,Rhipsalis pilocarpa,Rhipsalis pilocarpa,Rhipsalis pilocarpa Loefgr.,7280718,Rhipsalis pilocarpa f. minima Süpplie,1,,,0
Rosenbergiodendron formosum (Jacq.) Fagerl.,EXACT,100,Rosenbergiodendron formosum,Rosenbergiodendron formosum,Rosenbergiodendron formosum (Jacq.) Fagerl.,2904221,,0,,,0
Sacharum officinarum L.,FUZZY,96,Saccharum officinarum,Saccharum officinarum,Saccharum officinarum L.,2703912,Saccharum atrorubens Cuzent & Pancher | Saccharum atrorubens Cuzent & Pancher ex Drake | Saccharum bataviense André | Saccharum fragile Cuzent & Pancher | Saccharum fragile Cuzent & Pancher ex Drake | Saccharum glabrum Cuzent & Pancher ex Drake | Saccharum hybridum R.M.Grey | Saccharum infirmum Steud. | Saccharum infirmum Steud. ex Lechler | Saccharum luzonicum Cuzent & Pancher | Saccharum luzonicum Cuzent & Pancher ex Drake | Saccharum maddenii André | Saccharum monandrum Rottb. | Saccharum obscurum Cuzent & Pancher | Saccharum obscurum Cuzent & Pancher ex Drake | Saccharum occidentale Sw. | Saccharum officinale Salisb. | Saccharum officinarum subsp. atrorubens Cuzent & Pancher,18,Sugarcane,Cavameneñu | Sugarcane | cana,3
Salacca zalacca (Gaertn.) Voss.,EXACT,100,Salacca zalacca,Salacca zalacca,Salacca zalacca (Gaertn.) Voss,2731764,Salacca blumeana Mart. | Salacca edulis Reinw. | Salacca edulis Wall. | Salacca edulis var. amboinensis Becc. | Salacca rumphii Wall. | Salacca zalacca var. amboinensis (Becc.) Mogea,6,salak,salak | salak palm | snakefruit,3
Sauropus androgynus (L.) Merr.,EXACT,100,Sauropus androgynus,Sauropus androgynus,Sauropus androgynus (L.) Merr.,6109767,,0,sweet leaf,chekkurmanis | katuk | star-gooseberry | sweet leaf,4
Selenicereus chrysocardium (Alexander) Kimnach,FUZZY,100,Selenicereus chrysocardius,Selenicereus chrysocardius,Selenicereus chrysocardius (Alexander) Kimnach,3942456,,0,,,0
Setaria palmifolia (Koenig) Stapf,EXACT,100,Setaria palmifolia,Setaria palmifolia,Setaria palmifolia (J.Koenig) Stapf,2702958,,0,Palmgrass,Broadleaved bristlegrass | Palmgrass | hailans pitpit | highland pitpit | palm grass | short pitpit,6
Solandra maxima (Sessé et Moc.) P.Green.,EXACT,100,Solandra maxima,Solandra maxima,Solandra maxima (Moc. & Sessé) P.S.Green,5581538,Solandra hartwegii N.E.Br. | Solandra hartwegii N.E.Br. ex C.F.Ball | Solandra selerae Dammer ex Loes.,3,chalice cup vine,chalice cup vine,1
