input_name,gbif_matchType,gbif_confidence,gbif_canonicalName,gbif_genus_species,gbif_scientificName,gbif_usageKey,gbif_synonyms,gbif_synonym_count,gbif_english_name,gbif_english_names,gbif_english_name_count,gbif_native_countries,gbif_native_country_codes,gbif_native_total_records,gbif_native_sampled_records,gbif_native_confidence,wfo_taxon_id,wfo_id_method,wfo_query_used,wfo_url,wfo_habitat,wfo_native_distribution,wfo_distribution_raw,wfo_distribution_label,wfo_habitat_label
Averrhoa carambola L. ’B10’,EXACT,100,Averrhoa carambola,Averrhoa carambola,Averrhoa carambola L.,2891641,Averrhoa acutangula Stokes | Averrhoa microphylla Tardieu | Averrhoa pentandra Blanco,3,caramba,"Carambola | Kamranga | Madiro Rirana | Wajou Wachizoungou, Waju wamotsi | blimbing | caramba",6,Chinese Taipei,TW,2,2,very_low,wfo-0000557405,matching_api,Averrhoa carambola,https://www.worldfloraonline.org/taxon/wfo-0000557405,Terrícola Provided by: [ J ]. Brazilian Flora 2020 project - Projeto Flora do Brasil 2020,Introduced distribution,Introduced distribution,native distribution,habitat
Averrhoa carambola L. 'Fwang Tung'’,EXACT,96,Averrhoa carambola,Averrhoa carambola,Averrhoa carambola L.,2891641,Averrhoa acutangula Stokes | Averrhoa microphylla Tardieu | Averrhoa pentandra Blanco,3,caramba,"Carambola | Kamranga | Madiro Rirana | Wajou Wachizoungou, Waju wamotsi | blimbing | caramba",6,Chinese Taipei,TW,2,2,very_low,wfo-0000557405,matching_api,Averrhoa carambola,https://www.worldfloraonline.org/taxon/wfo-0000557405,Terrícola Provided by: [ J ]. Brazilian Flora 2020 project - Projeto Flora do Brasil 2020,Introduced distribution,Introduced distribution,native distribution,habitat
Begonia listada L.B.Sm. et Wassh.,EXACT,100,Begonia listada,Begonia listada,Begonia listada L.B.Sm. & Wassh.,4157039,,0,,,0,,,0,0,none,wfo-0000824596,matching_api,Begonia listada,https://www.worldfloraonline.org/taxon/wfo-0000824596,Life Form,,,,habitat
Begonia solimutata L.B.Sm. et Wassh.,EXACT,100,Begonia solimutata,Begonia solimutata,Begonia solimutata L.B.Sm. & Wassh.,7646487,,0,,,0,,,0,0,none,wfo-0000825560,matching_api,Begonia solimutata,https://www.worldfloraonline.org/taxon/wfo-0000825560,Life Form,,,,habitat
Brachychilum horsfieldii (R.Br. ex Wallich) Petersen,EXACT,100,Brachychilum horsfieldii,Brachychilum horsfieldii,Brachychilum horsfieldii (R.Br. ex Wall.) Petersen,2758651,,0,,,0,,,0,0,none,wfo-0000341738,matching_api,Brachychilum horsfieldii,https://www.worldfloraonline.org/taxon/wfo-0000341738,Life Form,,,,habitat
Breynia nivosa (W.G.Sm.) Small.,EXACT,100,Breynia nivosa,Breynia nivosa,Breynia nivosa (W.Bull) Small,5383032,,0,,,0,,,0,0,none,wfo-0000413278,matching_api,Breynia nivosa,https://www.worldfloraonline.org/taxon/wfo-0000413278,Life Form,,,,habitat
Brownea latifolia Jacq.,EXACT,100,Brownea latifolia,Brownea latifolia,Brownea latifolia Jacq.,2970484,,0,,,0,,,0,0,none,wfo-0000214098,matching_api,Brownea latifolia,https://www.worldfloraonline.org/taxon/wfo-0000214098,Life Form,,,,habitat
Caladium bicolor (Aiton) Vent.,EXACT,100,Caladium bicolor,Caladium bicolor,Caladium bicolor (Aiton) Vent.,2868390,Caladium albicans Stange | Caladium albopunctatissimum Jacob-Makoy | Caladium albopunctatissimum Jacob-Makoy ex H.Karst. | Caladium amabile Verschaff. | Caladium amoenum Engl. | Caladium appunianum Engl. | Caladium argyrospilum Lem. | Caladium auritum Jacob-Makoy | Caladium baraquinii W.Bull | Caladium baraquinii W.Bull ex J.Dix | Caladium barilletii Anon. | Caladium barraquinii Hérincq,12,Heart of Jesus,Artist's pallet | Bonga pandrapandra mena | Heart of Jesus | Heart-of-Jesus,4,Bolivia (Plurinational State of) | Brazil | Colombia | Venezuela (Bolivarian Republic of),BO | BR | CO | VE,180,180,medium,wfo-0000739079,matching_api,Caladium bicolor,https://www.worldfloraonline.org/taxon/wfo-0000739079,Terrícola Provided by: [ F ]. Brazilian Flora 2020 project - Projeto Flora do Brasil 2020,Introduced distribution,Introduced distribution,native distribution,habitat
Calathea zebrina (Sims) Lindl.,EXACT,100,Calathea zebrina,Calathea zebrina,Calathea zebrina (Sims) Lindl.,2761817,,0,zebraplant,zebraplant,1,,,0,0,none,wfo-0000343167,matching_api,Calathea zebrina,https://www.worldfloraonline.org/taxon/wfo-0000343167,Life Form,,,,habitat
Canna glauca L.,EXACT,100,Canna glauca,Canna glauca,Canna glauca L.,5303128,Canna angustifolia L. | Canna annaei André | Canna annaei subsp. nana André | Canna fintelmannii Bouché | Canna glauca subsp. annaei (André) Petersen | Canna glauca var. angusta J.W.Richardson | Canna glauca var. annaei (André) Petersen | Canna glauca var. annaei (André) Regel | Canna glauca var. rubrolutea Hook. | Canna glauca var. rufa Sims | Canna glauca var. siamensis (Kraenzl.) Nob.Tanaka | Canna hassleriana Kraenzl. | Canna jacobiniflora T.Koyama & Nob.Tanaka | Canna lanceolata Lodd. | Canna lanceolata Lodd. ex G.Don | Canna lanceolata Lodd. ex Loudon | Canna lancifolia Schrank | Canna liturata Link | Canna liturata Link ex A.Dietr. | Canna longifolia Bouché,20,Louisiana canna,Louisiana canna | Sari tamotamo,2,Argentina | Brazil | Ecuador | Paraguay | Spain | United States of America | Uruguay,AR | BR | EC | ES | PY | US | UY,252,252,high,wfo-0000343792,matching_api,Canna glauca,https://www.worldfloraonline.org/taxon/wfo-0000343792,Terrícola Aquática Provided by: [ A ]. Brazilian Flora 2020 project - Projeto Flora do Brasil 2020,Introduced distribution,Introduced distribution,native distribution,habitat
Carica papaya L.,EXACT,100,Carica papaya,Carica papaya,Carica papaya L.,2874484,Carica citriformis J.Jacq. ex Spreng. | Carica citriformis Jacq. | Carica cubensis Solms | Carica hermaphrodita Blanco | Carica jamaicensis Urb. | Carica jimenezii (Bertoni) Bertoni | Carica mamaya Vell. | Carica papaya f. correae Solms | Carica papaya f. ernstii Solms | Carica papaya f. eupapaya Solms | Carica papaya f. mamaya (Vell.) Stellfeld | Carica papaya f. portoricensis (Urb.) Solms | Carica papaya var. bady Aké Assi | Carica papaya var. bady AkéAssi | Carica papaya var. jimenezii Bertoni | Carica peltata Hook. & Arn. | Carica pinnatifida Heilb. | Carica portoricensis (Solms) Urb. | Carica posopora L. | Carica posoposa L.,20,Pape,Mpwapwaia | Mpwapwayi | Papaw | Papaya | Pape,5,Argentina | Australia | Colombia | Seychelles | United States of America,AR | AU | CO | SC | US,20,20,low,wfo-0000588009,matching_api,Carica papaya,https://www.worldfloraonline.org/taxon/wfo-0000588009,"Carica papaya grows as a cultivated species but is prone to escape along roadsides, other Human Altered environments, and the edges of natural areas Provided by: [ C ]. Leon Levy Native Plant Preserve Source: [ 11 ].",Introduced distribution,Introduced distribution,native distribution,habitat
Carica papaya L. 'Nana',EXACT,96,Carica papaya,Carica papaya,Carica papaya L.,2874484,Carica citriformis J.Jacq. ex Spreng. | Carica citriformis Jacq. | Carica cubensis Solms | Carica hermaphrodita Blanco | Carica jamaicensis Urb. | Carica jimenezii (Bertoni) Bertoni | Carica mamaya Vell. | Carica papaya f. correae Solms | Carica papaya f. ernstii Solms | Carica papaya f. eupapaya Solms | Carica papaya f. mamaya (Vell.) Stellfeld | Carica papaya f. portoricensis (Urb.) Solms | Carica papaya var. bady Aké Assi | Carica papaya var. bady AkéAssi | Carica papaya var. jimenezii Bertoni | Carica peltata Hook. & Arn. | Carica pinnatifida Heilb. | Carica portoricensis (Solms) Urb. | Carica posopora L. | Carica posoposa L.,20,Pape,Mpwapwaia | Mpwapwayi | Papaw | Papaya | Pape,5,Argentina | Australia | Colombia | Seychelles | United States of America,AR | AU | CO | SC | US,20,20,low,wfo-0000588009,matching_api,Carica papaya,https://www.worldfloraonline.org/taxon/wfo-0000588009,"Carica papaya grows as a cultivated species but is prone to escape along roadsides, other Human Altered environments, and the edges of natural areas Provided by: [ C ]. Leon Levy Native Plant Preserve Source: [ 11 ].",Introduced distribution,Introduced distribution,native distribution,habitat
