input_name,gbif_matchType,gbif_confidence,gbif_canonicalName,gbif_genus_species,gbif_scientificName,gbif_usageKey,gbif_synonyms,gbif_english_name,gbif_english_names,gbif_native_countries,gbif_native_country_codes,gbif_native_total_records,gbif_native_sampled_records,gbif_native_confidence,wfo_taxon_id,wfo_query_used,wfo_url,wfo_native_areas_found_in,wfo_native_countries,powo_native,powo_url,powo_taxon_id,powo_error
Alpinia zerumbet (Pers.) B. L. Burtt et Rosemary M. Sm.,EXACT,100,Alpinia zerumbet,Alpinia zerumbet,Alpinia zerumbet (Pers.) B.L.Burtt & R.M.Sm.,5301979,Alpinia cristata Griff. | Alpinia fimbriata Gagnep. | Alpinia fluvitialis Hayata | Alpinia nutans var. longiramosa Gagnep. | Alpinia penicillata Roscoe | Alpinia schumanniana Valeton | Alpinia speciosa (J.C.Wendl.) K.Schum. | Alpinia speciosa subsp. longiramosa Gagnep. | Alpinia speciosa var. longiramosa Gagnep.,Shellplant,Kopi ‘enua | Sakai viro lambo | Shell Ginger | Shellplant | Tsingizo masera | kaopui | light galangal | pink porcelain-lily,Chinese Taipei,TW,49,49,low,wfo-0000338850,Alpinia zerumbet,https://www.worldfloraonline.org/taxon/wfo-0000338850,,,"Bangladesh | Cambodia | China South-Central | China Southeast | Hainan | Japan | Laos | Malaya | Myanmar | Nansei-shoto | Taiwan | Thailand | Vietnam
Introduced into:
Ascension | Azores | Bismarck Archipelago | Bolivia | Canary Is.",https://powo.science.kew.org/taxon/urn%3Alsid%3Aipni.org%3Anames%3A872083-1,urn:lsid:ipni.org:names:872083-1,
Alpinia zerumbet (Pers.) B. L. Burtt et Rosemary M. Sm. 'Variegata',EXACT,94,Alpinia zerumbet,Alpinia zerumbet,Alpinia zerumbet (Pers.) B.L.Burtt & R.M.Sm.,5301979,Alpinia cristata Griff. | Alpinia fimbriata Gagnep. | Alpinia fluvitialis Hayata | Alpinia nutans var. longiramosa Gagnep. | Alpinia penicillata Roscoe | Alpinia schumanniana Valeton | Alpinia speciosa (J.C.Wendl.) K.Schum. | Alpinia speciosa subsp. longiramosa Gagnep. | Alpinia speciosa var. longiramosa Gagnep.,Shellplant,Kopi ‘enua | Sakai viro lambo | Shell Ginger | Shellplant | Tsingizo masera | kaopui | light galangal | pink porcelain-lily,Chinese Taipei,TW,49,49,low,wfo-0000338850,Alpinia zerumbet,https://www.worldfloraonline.org/taxon/wfo-0000338850,,,"Bangladesh | Cambodia | China South-Central | China Southeast | Hainan | Japan | Laos | Malaya | Myanmar | Nansei-shoto | Taiwan | Thailand | Vietnam
Introduced into:
Ascension | Azores | Bismarck Archipelago | Bolivia | Canary Is.",https://powo.science.kew.org/taxon/urn%3Alsid%3Aipni.org%3Anames%3A872083-1,urn:lsid:ipni.org:names:872083-1,
Ananas comosus (L.) Merr.,EXACT,100,Ananas comosus,Ananas comosus,Ananas comosus (L.) Merr.,5288819,Ananas acostae C.Commelijn | Ananas bracteatus Baker | Ananas bracteatus subsp. hondurensis Bertoni | Ananas bracteatus subsp. paraguayensis Bertoni | Ananas bracteatus var. paraguayensis Bertoni | Ananas coccineus Descourt. | Ananas comosus subsp. variegatus (Lowe) Moldenke | Ananas glaber Mill. | Ananas monstrosus Baker | Ananas mordilona (Linden) E.Morren | Ananas mordilona (Linden) VanGeert | Ananas ovatus Mill. | Ananas proliferus Baker | Ananas pyramidalis Mill. | Ananas sativa Lindl. | Ananas sativus subsp. hispanorum Bertoni | Ananas sativus subsp. muricatus Mez | Ananas sativus subsp. pyramidalis Bertoni | Ananas sativus subsp. variegatus Lowe | Ananas sativus subsp. viridis (Mill.) Bertoni,Pineapple,"Ijibo | Mnananasi bole, Mnananasi mba | Pineapple",Afghanistan | Argentina | Bolivia (Plurinational State of) | Brazil | Colombia | France | French Guiana | Guyana | Paraguay | Suriname | Venezuela (Bolivarian Republic of),AF | AR | BO | BR | CO | FR | GF | GY | PY | SR | VE,1231,900,high,wfo-0000339432,Ananas comosus,https://www.worldfloraonline.org/taxon/wfo-0000339432,Southern America Brazil Brazil North | Southern America | Brazil | Brazil North | Brazil Northeast | Alagoas | Bahia | Paraába | Pernambuco | Rio Grande do Norte | Sergipe | Brazil South | Brazil Southeast | Brazil West-Central | Central America Costa Rica | Central America | Costa Rica | Panamá | Northern South America French Guiana | Northern South America | French Guiana | Guyana | Suriname | Venezuela | Southern South America Argentina Northeast | Southern South America | Argentina Northeast | Paraguay | Western South America Bolivia | Western South America | Bolivia | Colombia | Ecuador | Peru,United States | Brazil | Costa Rica | Cuba | France | Guyana | Suriname | Kingdom of the Netherlands | Netherlands | Venezuela | Paraguay | Colombia | Ecuador | Chile | Peru,"International Plant Names Index Nomenclatural data for the scientific names of vascular plants | International Plant Names Index | Nomenclatural data for the scientific names of vascular plants | Tree of Life Explorer A comprehensive evolutionary tree of life for flowering plants | Tree of Life Explorer | A comprehensive evolutionary tree of life for flowering plants | Medicinal Plant Names Services A global database of names used for herbal drugs, products and medicinal plants | Medicinal Plant Names Services | A global database of names used for herbal drugs | products and medicinal plants | Plant DNA C-values Database Genome size (C-value) data for >12,000 plant and algal species | Plant DNA C-values Database | Genome size (C-value) data for >12 | 000 plant and algal species | Tropical Important Plant Areas Discover more about critical sites for plant diversity in the tropics | Tropical Important Plant Areas | Discover more about critical sites for plant diversity in the tropics | Featured Tree of Life Explorer Discover the flowering plant tree of life and the genomic data used to build it. | Featured | Discover the flowering plant tree of life and the genomic data used to build it. | Let us know what you think! | Bromeliaceae | Juss. | First published in Gen. Pl. [Jussieu] 49. 1789 [4 Aug 1789] (1789)nom. cons. | This family is accepted",https://powo.science.kew.org/taxon/urn%3Alsid%3Aipni.org%3Anames%3A30000083-2,urn:lsid:ipni.org:names:30000083-2,
Angraecum eburneum Bory,EXACT,100,Angraecum eburneum,Angraecum eburneum,Angraecum eburneum Bory,2833834,,,,Seychelles,SC,16,16,low,wfo-0000976619,Angraecum eburneum,https://www.worldfloraonline.org/taxon/wfo-0000976619,Africa East Tropical Africa Kenya | Tanzania | Western Indian Ocean Aldabra | Comoros | Madagascar | Mauritius | Réunion | Seychelles | Angraecum eburneum subsp. eburneum | Angraecum eburneum subsp. giryamae (Rendle) Senghas & P.J.Cribb | Angraecum eburneum subsp. superbum (Thouars) H.Perrier | Angraecum eburneum subsp. xerophilum H.Perrier | Angorchis eburnea (Bory) Kuntze | Angorkis eburnangis Thouars | Limodorum eburneum (Bory) Willd. | Africa | East Tropical Africa | Kenya | Western Indian Ocean | Aldabra | Included Subspecies | Angraecum eburneum subsp. giryamae | (Rendle) Senghas & P.J.Cribb | Angraecum eburneum subsp. superbum | (Thouars) H.Perrier | Angraecum eburneum subsp. xerophilum | H.Perrier | Synonyms | Angorchis eburnea | (Bory) Kuntze | Angorkis eburnangis | Thouars | Limodorum eburneum | (Bory) Willd.,Tanzania | Comoros | Madagascar | Cameroon | Mauritius | Czech Republic | France | Switzerland | Seychelles | Ancient Rome | Ghana,Aldabra | Comoros | Kenya | Madagascar | Mauritius | Réunion | Seychelles,https://powo.science.kew.org/taxon/urn%3Alsid%3Aipni.org%3Anames%3A616096-1,urn:lsid:ipni.org:names:616096-1,
Anthurium digitatum (Jacq.) G.Don f.,EXACT,85,Anthurium digitatum,Anthurium digitatum,Anthurium digitatum (Jacq.) Schott,2872987,"Anthurium digitatum (Jacq.) G.Don, 1839 | Anthurium digitatum var. connatum Engl. | Anthurium pentaphyllum var. digitatum (Jacq.) Madison",,,,,0,0,none,wfo-0000224360,Anthurium digitatum,https://www.worldfloraonline.org/taxon/wfo-0000224360,Southern America Caribbean Trinidad-Tobago | Northern South America Venezuela | Anthurium digitatum var. connatum Engl. | Anthurium pentaphyllum var. digitatum (Jacq.) Madison | Pothos digitata Jacq. | Southern America | Caribbean | Trinidad-Tobago | Northern South America | Venezuela | Synonyms | Anthurium digitatum var. connatum | Engl. | Anthurium pentaphyllum var. digitatum | (Jacq.) Madison | Pothos digitata | Jacq.,United Kingdom | Venezuela,Trinidad-Tobago,https://powo.science.kew.org/taxon/urn%3Alsid%3Aipni.org%3Anames%3A84749-1,urn:lsid:ipni.org:names:84749-1,
Anthurium schlechtendalii Kunth,EXACT,100,Anthurium schlechtendalii,Anthurium schlechtendalii,Anthurium schlechtendalii Kunth,2872288,,Laceleaf,Laceleaf,Colombia,CO,2,2,very_low,wfo-0000232488,Anthurium schlechtendalii,https://www.worldfloraonline.org/taxon/wfo-0000232488,Northern America Mexico Mexico Gulf | Northern America | Mexico | Mexico Gulf | Mexico Southeast | Mexico Southwest | Southern America Central America Belize | Southern America | Central America | Belize | Guatemala | Honduras | Nicaragua,United Kingdom | Angola | Guatemala | Honduras | Nicaragua,Belize | Guatemala | Honduras | Mexico Gulf | Mexico Southeast | Mexico Southwest,https://powo.science.kew.org/taxon/urn%3Alsid%3Aipni.org%3Anames%3A85335-1,urn:lsid:ipni.org:names:85335-1,
Anthurium vittariifolium Engl.,EXACT,100,Anthurium vittariifolium,Anthurium vittariifolium,Anthurium vittariifolium Engl.,2873406,,,,Brazil,BR,2,2,very_low,wfo-0000234460,Anthurium vittariifolium,https://www.worldfloraonline.org/taxon/wfo-0000234460,Southern America Brazil Brazil North | Acre | Western South America Colombia | Ecuador | Peru | Southern America | Brazil | Brazil North | Western South America | Colombia,Brazil | Israel | Ecuador | Chile | Peru | United States | Colombia,"Brazil North | Colombia | Ecuador | Peru
Classification
Kingdom
Plantae
Phylum
Streptophyta
Class
Equisetopsida
Subclass
Magnoliidae
Order
Alismatales
View Order Tree
opens in a new tab
Family
Araceae
View Family Tree
opens in a new tab
Genus
Anthurium
View in Tree of Life
opens in a new tab
Species
Anthurium vittariifolium
Kew's Tree of Life Explorer
Discover the flowering plant tree of life and the genomic data used to build it.
View the Tree of Life
Publications
Sort
Alphabetically
Newest first
Oldest first
POWO follows t",https://powo.science.kew.org/taxon/urn%3Alsid%3Aipni.org%3Anames%3A15820-2,urn:lsid:ipni.org:names:15820-2,
Aristolochia fimbriata Cham.,EXACT,100,Aristolochia fimbriata,Aristolochia fimbriata,Aristolochia fimbriata Cham.,3589582,Aristolochia bomplandii Tenore | Aristolochia bonplandii Ten. | Aristolochia ciliata Hook. | Aristolochia ciliosa Benth. | Aristolochia insignis Verschaff.,,,Argentina | Bolivia (Plurinational State of) | Brazil | Cuba | Uruguay,AR | BO | BR | CU | UY,62,62,medium,wfo-0000547788,Aristolochia fimbriata,https://www.worldfloraonline.org/taxon/wfo-0000547788,Southern America Brazil Brazil South | Southern America | Brazil | Brazil South | Paraní | Rio Grande do Sul | Santa Catarina | Southern South America Argentina Northeast | Southern South America | Argentina Northeast | Paraguay | Uruguay | Western South America Bolivia | Western South America | Bolivia,United States | Brazil | Mexico | Paraguay | Italy | Cuba,Argentina Northeast | Bolivia | Brazil South | Paraguay,https://powo.science.kew.org/taxon/urn%3Alsid%3Aipni.org%3Anames%3A92931-1,urn:lsid:ipni.org:names:92931-1,
Aristolochia gigantea Mart. et Zucc.,EXACT,100,Aristolochia gigantea,Aristolochia gigantea,Aristolochia gigantea Mart. & Zucc.,3589283,Aristolochia mariquitensis Mutis,duckflower,Brazilian Dutchman's pipe | duckflower,Brazil,BR,243,243,high,wfo-0000547827,Aristolochia gigantea,https://www.worldfloraonline.org/taxon/wfo-0000547827,,,Brazil Northeast | Brazil South,https://powo.science.kew.org/taxon/urn%3Alsid%3Aipni.org%3Anames%3A60460287-2,urn:lsid:ipni.org:names:60460287-2,
Aristolochia grandiflora Sw.,EXACT,100,Aristolochia grandiflora,Aristolochia grandiflora,Aristolochia grandiflora Sw.,2874014,Aristolochia gigantea Hook. | Aristolochia gigas Lindl. | Aristolochia gigas var. sturtevantii S.Watson | Aristolochia gorgona M.A.Blanco | Aristolochia grandiflora var. hookeri Duch. | Aristolochia pichinchensis Pfeifer | Aristolochia sturtevantii (S.Watson) Mottet | Aristolochia tapilulensis Beutelsp.,duckflower,Pelicanflower | duck-flower | duckflower | pelican-flower,,,0,0,none,wfo-0000547851,Aristolochia grandiflora,https://www.worldfloraonline.org/taxon/wfo-0000547851,Northern America Mexico Mexico Gulf | Northern America | Mexico | Mexico Gulf | Mexico Northeast | Mexico Southeast | Mexico Southwest | Southern America Caribbean Jamaica | Southern America | Caribbean | Jamaica | Central America Belize | Central America | Belize | Costa Rica | El Salvador | Guatemala | Honduras | Nicaragua | Panamá | Western South America Colombia | Western South America | Colombia | Ecuador,United Kingdom | Jamaica | United States | Angola | Costa Rica | El Salvador | Guatemala | Honduras | Nicaragua | Brazil | Cuba | Colombia | Ecuador | Chile,"Belize | Colombia | Costa Rica | Ecuador | El Salvador | Guatemala | Honduras | Jamaica | Mexico Gulf | Mexico Northeast | Mexico Southeast | Mexico Southwest | Nicaragua | Panamá
Introduced into:
Bangladesh | Cuba | Leeward Is.",https://powo.science.kew.org/taxon/urn%3Alsid%3Aipni.org%3Anames%3A92978-1,urn:lsid:ipni.org:names:92978-1,
