input_name,gbif_matchType,gbif_confidence,gbif_matched_scientificName,gbif_matched_canonicalName,gbif_matched_usageKey,gbif_accepted_usageKey,gbif_accepted_taxonomicStatus,gbif_accepted_hops,gbif_canonicalName,gbif_genus_species,gbif_scientificName,gbif_synonyms,gbif_synonym_count,gbif_synonyms_same_species,gbif_synonyms_same_species_count,gbif_synonyms_same_genus,gbif_synonyms_same_genus_count,gbif_english_name,gbif_english_names,gbif_english_name_count,wfo_input_used,wfo_match_wfo_id,wfo_match_full_name,wfo_accepted_name,wfo_synonyms,wfo_synonym_count,wfo_method,wfo_debug
Cordia myxa L. non Forssk.,EXACT,100,Cordia myxa L.,Cordia myxa,5341290,5341290,ACCEPTED,0,Cordia myxa,Cordia myxa,Cordia myxa L.,Cordia myxa L. | Argyreia arborea Lour. | Bourreria glabra (Roth) G.Don | Cordia domestica Roth | Cordia domestica var. evolutior (C.B.Clarke) M.R.Almeida | Cordia evolutior (C.B.Clarke) Gamble | Cordia fulvosa Wight | Cordia fulvosa var. evolutior C.B.Clarke | Cordia latifolia Wall. | Cordia latifolia Wall. ex G.Don | Cordia myxa var. domestica (Roth) C.B.Clarke | Cordia officinalis Lam. | Cordia paniculata Roth | Cordia petta-pelioporet B.Heyne | Cordia petta-pelioporet B.Heyne ex Roth | Cordia scabrifolia Benth. | Cordia scabrifolia Benth. ex Griseb. | Cordia sebestena Forssk. | Ehretia glabra Roth | Ehretia glabra Roth ex Roem. & Schult. | Gerascanthus fulvosus (Wight) Borhidi | Gerascanthus myxus (L.) Borhidi | Lithocardium fulvosum (Wight) Kuntze | Lithocardium myxa (L.) Kuntze | Quarena indica (Lam.) Raf. | Sebestena myxa (L.) J.Presl | Sebestena officinalis Gaertn. | Vitex gomphophylla Baker | Vitex gomphyphylla Baker,29,Cordia myxa L. | Cordia myxa var. domestica (Roth) C.B.Clarke | Lithocardium myxa (L.) Kuntze | Sebestena myxa (L.) J.Presl,4,Cordia myxa L. | Cordia domestica Roth | Cordia domestica var. evolutior (C.B.Clarke) M.R.Almeida | Cordia evolutior (C.B.Clarke) Gamble | Cordia fulvosa Wight | Cordia fulvosa var. evolutior C.B.Clarke | Cordia latifolia Wall. | Cordia latifolia Wall. ex G.Don | Cordia myxa var. domestica (Roth) C.B.Clarke | Cordia officinalis Lam. | Cordia paniculata Roth | Cordia petta-pelioporet B.Heyne | Cordia petta-pelioporet B.Heyne ex Roth | Cordia scabrifolia Benth. | Cordia scabrifolia Benth. ex Griseb. | Cordia sebestena Forssk.,16,Lasoda,Assyrian Plum | Assyrian-plum | Clammy cherry | Indian cherry | Indian-cherry | Lasoda | Mrovu | Salelo | Sapistan plum | Sebesten,10,Cordia myxa L.,,,,,0,rest+html,"{""mode"": ""rest+html"", ""input"": ""Cordia myxa L."", ""wfo_id"": """", ""full_name_plain"": """", ""rest_error"": false, ""rest_narrative"": [""The first word is always a name part word: 'Cordia'"", ""Word is found in index and so is part of name: 'myxa'."", ""Word is lowercase. Subsequent words must start with lowercase: 'myxa'."", ""Word contains non alpha chars and so is start of author string: 'L.'."", ""There are two name parts. This may be an autonym with species authors included. Checking for second occurrence of 'myxa'"", ""Authors string looks like this: 'L.'"", ""Parsed name complete."", ""Rank estimated as 'species' from name parts."", ""Searched index of 2025-12 for canonical form of name 'Cordia myxa' and found 3 candidates."", ""Check all homonyms is selected so not checking author strings."", ""Still no match found."", ""But 3 candidates found.""], ""rest_keys"": [""candidates"", ""error"", ""errorMessage"", ""inputString"", ""match"", ""narrative"", ""params"", ""parsedName"", ""searchString""]}"
Couroupita guianensis Auhl.,EXACT,87,Couroupita guianensis Aubl.,Couroupita guianensis,3082562,3082562,ACCEPTED,0,Couroupita guianensis,Couroupita guianensis,Couroupita guianensis Aubl.,Couroupita guianensis Aubl. | Couratari pedicellaris Rizzini | Couroupita acreensis R.Knuth | Couroupita antillana Miers | Couroupita froesii R.Knuth | Couroupita guianensis var. surinamensis (Mart. ex Berg) Eyma | Couroupita idolica Dwyer | Couroupita membranacea Miers | Couroupita peruviana O.Berg | Couroupita saintcroixiana R.Knuth | Couroupita surinamensis Mart. | Couroupita surinamensis Mart. ex Berg | Couroupita venezuelensis R.Knuth | Lecythis bracteata Willd. | Pekea couroupita Juss. | Pekea couroupita Juss. ex DC.,16,Couroupita guianensis Aubl. | Couroupita guianensis var. surinamensis (Mart. ex Berg) Eyma,2,Couroupita guianensis Aubl. | Couroupita acreensis R.Knuth | Couroupita antillana Miers | Couroupita froesii R.Knuth | Couroupita guianensis var. surinamensis (Mart. ex Berg) Eyma | Couroupita idolica Dwyer | Couroupita membranacea Miers | Couroupita peruviana O.Berg | Couroupita saintcroixiana R.Knuth | Couroupita surinamensis Mart. | Couroupita surinamensis Mart. ex Berg | Couroupita venezuelensis R.Knuth,12,Cannonball Tree,Cannonball Tree,1,Couroupita guianensis Aubl.,wfo-0000775148,Couroupita guianensis Aubl.,Couroupita guianensis Aubl.,Couroupita guianensis var. surinamensis (Mart. ex Berg) Eyma | Lecythis bracteata Willd. | Couroupita saintcroixiana R.Knuth | Pekea couroupita Juss. ex DC. | Couratari pedicellaris Rizzini | Couroupita acreensis R.Knuth | Couroupita antillana Miers | Couroupita froesii R.Knuth | Couroupita idolica Dwyer | Couroupita membranacea Miers | Couroupita peruviana O.Berg | Couroupita surinamensis Mart. ex O.Berg | Couroupita venezuelensis R.Knuth,13,rest+html,"{""mode"": ""rest+html"", ""input"": ""Couroupita guianensis Aubl."", ""wfo_id"": ""wfo-0000775148"", ""full_name_plain"": ""Couroupita guianensis Aubl."", ""rest_error"": false, ""rest_narrative"": [""The first word is always a name part word: 'Couroupita'"", ""Word is found in index and so is part of name: 'guianensis'."", ""Word is lowercase. Subsequent words must start with lowercase: 'guianensis'."", ""Word contains non alpha chars and so is start of author string: 'Aubl.'."", ""There are two name parts. This may be an autonym with species authors included. Checking for second occurrence of 'guianensis'"", ""Authors string looks like this: 'Aubl.'"", ""Parsed name complete."", ""Rank estimated as 'species' from name parts."", ""Searched index of 2025-12 for canonical form of name 'Couroupita guianensis' and found 1 candidates."", ""Check all homonyms is selected so not checking author strings."", ""Still no match found."", ""But 1 candidates found."", ""A single candidate found and acceptSingleCandidate is true so it becomes the match.""], ""rest_keys"": [""candidates"", ""error"", ""errorMessage"", ""inputString"", ""match"", ""narrative"", ""params"", ""parsedName"", ""searchString""]}"
Ctenanthe amabilis (E.Morren) H.A.Kenn. & Nicolson,EXACT,100,Ctenanthe amabilis (É.Morren) H.Kenn. & Nicolson,Ctenanthe amabilis,2762431,2762431,ACCEPTED,0,Ctenanthe amabilis,Ctenanthe amabilis,Ctenanthe amabilis (É.Morren) H.Kenn. & Nicolson,Ctenanthe amabilis (É.Morren) H.Kenn. & Nicolson | Stromanthe amabilis É.Morren,2,Ctenanthe amabilis (É.Morren) H.Kenn. & Nicolson | Stromanthe amabilis É.Morren,2,Ctenanthe amabilis (É.Morren) H.Kenn. & Nicolson,1,,,0,Ctenanthe amabilis (É.Morren) H.Kenn. & Nicolson,wfo-0000365193,Ctenanthe amabilis (É.Morren) H.Kenn. & Nicolson,Ctenanthe amabilis (É.Morren) H.Kenn. & Nicolson,Stromanthe amabilis É.Morren,1,rest+html,"{""mode"": ""rest+html"", ""input"": ""Ctenanthe amabilis (É.Morren) H.Kenn. & Nicolson"", ""wfo_id"": ""wfo-0000365193"", ""full_name_plain"": ""Ctenanthe amabilis (É.Morren) H.Kenn. & Nicolson"", ""rest_error"": false, ""rest_narrative"": [""The first word is always a name part word: 'Ctenanthe'"", ""Word is found in index and so is part of name: 'amabilis'."", ""Word is lowercase. Subsequent words must start with lowercase: 'amabilis'."", ""Word contains non alpha chars and so is start of author string: '(É.Morren)'."", ""There are two name parts. This may be an autonym with species authors included. Checking for second occurrence of 'amabilis'"", ""Authors string looks like this: '(É.Morren) H.Kenn. & Nicolson'"", ""Parsed name complete."", ""Rank estimated as 'species' from name parts."", ""Searched index of 2025-12 for canonical form of name 'Ctenanthe amabilis' and found 1 candidates."", ""Check all homonyms is selected so not checking author strings."", ""Still no match found."", ""But 1 candidates found."", ""A single candidate found and acceptSingleCandidate is true so it becomes the match.""], ""rest_keys"": [""candidates"", ""error"", ""errorMessage"", ""inputString"", ""match"", ""narrative"", ""params"", ""parsedName"", ""searchString""]}"
Cubanola domingensis (Britton) Aiella,EXACT,100,Cubanola domingensis (Britton) Aiello,Cubanola domingensis,2893015,2893015,ACCEPTED,0,Cubanola domingensis,Cubanola domingensis,Cubanola domingensis (Britton) Aiello,Cubanola domingensis (Britton) Aiello | Portlandia domingensis Britton,2,Cubanola domingensis (Britton) Aiello | Portlandia domingensis Britton,2,Cubanola domingensis (Britton) Aiello,1,,,0,Cubanola domingensis (Britton) Aiello,wfo-0000933427,Cubanola domingensis (Britton) Aiello,Cubanola domingensis (Britton) Aiello,Portlandia domingensis Britton,1,rest+html,"{""mode"": ""rest+html"", ""input"": ""Cubanola domingensis (Britton) Aiello"", ""wfo_id"": ""wfo-0000933427"", ""full_name_plain"": ""Cubanola domingensis (Britton) Aiello"", ""rest_error"": false, ""rest_narrative"": [""The first word is always a name part word: 'Cubanola'"", ""Word is found in index and so is part of name: 'domingensis'."", ""Word is lowercase. Subsequent words must start with lowercase: 'domingensis'."", ""Word contains non alpha chars and so is start of author string: '(Britton)'."", ""There are two name parts. This may be an autonym with species authors included. Checking for second occurrence of 'domingensis'"", ""Authors string looks like this: '(Britton) Aiello'"", ""Parsed name complete."", ""Rank estimated as 'species' from name parts."", ""Searched index of 2025-12 for canonical form of name 'Cubanola domingensis' and found 1 candidates."", ""Check all homonyms is selected so not checking author strings."", ""Still no match found."", ""But 1 candidates found."", ""A single candidate found and acceptSingleCandidate is true so it becomes the match.""], ""rest_keys"": [""candidates"", ""error"", ""errorMessage"", ""inputString"", ""match"", ""narrative"", ""params"", ""parsedName"", ""searchString""]}"
Curculigo capitulata (Lour.) Kantze.,EXACT,88,Curculigo capitulata (Lour.) Kuntze,Curculigo capitulata,2852556,2852556,ACCEPTED,0,Curculigo capitulata,Curculigo capitulata,Curculigo capitulata (Lour.) Kuntze,Curculigo capitulata (Lour.) Kuntze | Curculigo foliis-variegatis Pynaert | Curculigo fuziwarae Yamam. | Curculigo glabra Merr. | Curculigo recurvata Dryand. | Curculigo recurvata W.T.Aiton | Curculigo recurvata var. variegatea W.Bull | Curculigo strobiliformis D.Fang & D.H.Qin | Curculigo sumatrana Roxb. | Leucoium capitulatum | Leucojum capitulatum Lour. | Molineria capitulata (Lour.) Herb. | Molineria hortensis Britton | Molineria plicata Colla | Molineria recurvata (W.T.Aiton) Herb. | Molineria sulcata Kurz | Molineria sumatrana (Roxb.) Herb. | Moliniera capitulata | Tupistra esquirolii H.Lév. & Vaniot | Veratrum mairei H.Lév.,20,Curculigo capitulata (Lour.) Kuntze | Molineria capitulata (Lour.) Herb. | Moliniera capitulata,3,Curculigo capitulata (Lour.) Kuntze | Curculigo foliis-variegatis Pynaert | Curculigo fuziwarae Yamam. | Curculigo glabra Merr. | Curculigo recurvata Dryand. | Curculigo recurvata W.T.Aiton | Curculigo recurvata var. variegatea W.Bull | Curculigo strobiliformis D.Fang & D.H.Qin | Curculigo sumatrana Roxb.,9,palm-grass,palm-grass,1,Curculigo capitulata (Lour.) Kuntze,wfo-0000764772,Curculigo capitulata (Lour.) Kuntze,Curculigo capitulata (Lour.) Kuntze,Leucojum capitulatum Lour. | Molineria capitulata (Lour.) Herb. | Molineria hortensis Britton | Molineria recurvata (W.T.Aiton) Herb. | Molineria plicata Colla | Molineria sumatrana (Roxb.) Herb. | Molineria sulcata Kurz | Tupistra esquirolii H.Lév. & Vaniot | Veratrum mairei H.Lév. | Curculigo glabra Merr. | Curculigo recurvata W.T.Aiton | Curculigo strobiliformis D.Fang & D.H.Qin | Curculigo sumatrana Roxb. | Curculigo fuziwarae Yamam. | Curculigo foliisvariegatis Pynaert | Curculigo recurvata var. variegatea W.Bull,16,rest+html,"{""mode"": ""rest+html"", ""input"": ""Curculigo capitulata (Lour.) Kuntze"", ""wfo_id"": ""wfo-0000764772"", ""full_name_plain"": ""Curculigo capitulata (Lour.) Kuntze"", ""rest_error"": false, ""rest_narrative"": [""The first word is always a name part word: 'Curculigo'"", ""Word is found in index and so is part of name: 'capitulata'."", ""Word is lowercase. Subsequent words must start with lowercase: 'capitulata'."", ""Word contains non alpha chars and so is start of author string: '(Lour.)'."", ""There are two name parts. This may be an autonym with species authors included. Checking for second occurrence of 'capitulata'"", ""Authors string looks like this: '(Lour.) Kuntze'"", ""Parsed name complete."", ""Rank estimated as 'species' from name parts."", ""Searched index of 2025-12 for canonical form of name 'Curculigo capitulata' and found 1 candidates."", ""Check all homonyms is selected so not checking author strings."", ""Still no match found."", ""But 1 candidates found."", ""A single candidate found and acceptSingleCandidate is true so it becomes the match.""], ""rest_keys"": [""candidates"", ""error"", ""errorMessage"", ""inputString"", ""match"", ""narrative"", ""params"", ""parsedName"", ""searchString""]}"
Cyanastrum cordifolium Oliv.,EXACT,100,Cyanastrum cordifolium Oliv.,Cyanastrum cordifolium,2860900,2860900,ACCEPTED,0,Cyanastrum cordifolium,Cyanastrum cordifolium,Cyanastrum cordifolium Oliv.,Cyanastrum cordifolium Oliv. | Cyanastrum cordifolium var. compactum (Oliv.) R.T.Clausen | Schoenlandia gabonensis Cornu,3,Cyanastrum cordifolium Oliv. | Cyanastrum cordifolium var. compactum (Oliv.) R.T.Clausen,2,Cyanastrum cordifolium Oliv. | Cyanastrum cordifolium var. compactum (Oliv.) R.T.Clausen,2,,,0,Cyanastrum cordifolium Oliv.,wfo-0000764829,Cyanastrum cordifolium Oliv.,Cyanastrum cordifolium Oliv.,Schoenlandia gabonensis Cornu | Cyanastrum cordifolium var. compactum R.T.Clausen,2,rest+html,"{""mode"": ""rest+html"", ""input"": ""Cyanastrum cordifolium Oliv."", ""wfo_id"": ""wfo-0000764829"", ""full_name_plain"": ""Cyanastrum cordifolium Oliv."", ""rest_error"": false, ""rest_narrative"": [""The first word is always a name part word: 'Cyanastrum'"", ""Word is found in index and so is part of name: 'cordifolium'."", ""Word is lowercase. Subsequent words must start with lowercase: 'cordifolium'."", ""Word contains non alpha chars and so is start of author string: 'Oliv.'."", ""There are two name parts. This may be an autonym with species authors included. Checking for second occurrence of 'cordifolium'"", ""Authors string looks like this: 'Oliv.'"", ""Parsed name complete."", ""Rank estimated as 'species' from name parts."", ""Searched index of 2025-12 for canonical form of name 'Cyanastrum cordifolium' and found 1 candidates."", ""Check all homonyms is selected so not checking author strings."", ""Still no match found."", ""But 1 candidates found."", ""A single candidate found and acceptSingleCandidate is true so it becomes the match.""], ""rest_keys"": [""candidates"", ""error"", ""errorMessage"", ""inputString"", ""match"", ""narrative"", ""params"", ""parsedName"", ""searchString""]}"
Cyperus diffusus Vahl.,EXACT,100,Cyperus diffusus Vahl,Cyperus diffusus,2713932,2713932,ACCEPTED,0,Cyperus diffusus,Cyperus diffusus,Cyperus diffusus Vahl,Cyperus diffusus Vahl | Cyperus bancanus subsp. brevibracteatus E.G.Camus | Cyperus diffusus subsp. brevibracteatus (E.G.Camus) Kük. | Cyperus diffusus subsp. celebicus (Miq.) Kük. | Cyperus diffusus subsp. latifolius L.K.Dai | Cyperus diffusus subsp. macrostachyus Boeck. | Cyperus diffusus subsp. multispicatus S.M.Huang | Cyperus diffusus subsp. turgidulus Suringar | Cyperus diffusus subsp. umbrosus (Lindl. ex Nees) Kük. | Cyperus diffusus var. celebicus (Miq.) Kük. | Cyperus holophyllus Miq. ex DeVriese | Cyperus holophyllus subsp. celebicus Miq. | Cyperus laxus subsp. multispicatus (S.M.Huang) S.M.Huang | Eucyperus diffusus (Vahl) Rikli,14,Cyperus diffusus Vahl | Cyperus diffusus subsp. brevibracteatus (E.G.Camus) Kük. | Cyperus diffusus subsp. celebicus (Miq.) Kük. | Cyperus diffusus subsp. latifolius L.K.Dai | Cyperus diffusus subsp. macrostachyus Boeck. | Cyperus diffusus subsp. multispicatus S.M.Huang | Cyperus diffusus subsp. turgidulus Suringar | Cyperus diffusus subsp. umbrosus (Lindl. ex Nees) Kük. | Cyperus diffusus var. celebicus (Miq.) Kük. | Eucyperus diffusus (Vahl) Rikli,10,Cyperus diffusus Vahl | Cyperus bancanus subsp. brevibracteatus E.G.Camus | Cyperus diffusus subsp. brevibracteatus (E.G.Camus) Kük. | Cyperus diffusus subsp. celebicus (Miq.) Kük. | Cyperus diffusus subsp. latifolius L.K.Dai | Cyperus diffusus subsp. macrostachyus Boeck. | Cyperus diffusus subsp. multispicatus S.M.Huang | Cyperus diffusus subsp. turgidulus Suringar | Cyperus diffusus subsp. umbrosus (Lindl. ex Nees) Kük. | Cyperus diffusus var. celebicus (Miq.) Kük. | Cyperus holophyllus Miq. ex DeVriese | Cyperus holophyllus subsp. celebicus Miq. | Cyperus laxus subsp. multispicatus (S.M.Huang) S.M.Huang,13,Diffused Flatsedge,Diffused Flatsedge | Dwarf Umbrella Grass,2,Cyperus diffusus Vahl,,,,,0,rest+html,"{""mode"": ""rest+html"", ""input"": ""Cyperus diffusus Vahl"", ""wfo_id"": """", ""full_name_plain"": """", ""rest_error"": false, ""rest_narrative"": [""The first word is always a name part word: 'Cyperus'"", ""Word is found in index and so is part of name: 'diffusus'."", ""Word is lowercase. Subsequent words must start with lowercase: 'diffusus'."", ""Word starts with a capital when we have already had a name word starting with a lower case so part of author string: 'Vahl'."", ""There are two name parts. This may be an autonym with species authors included. Checking for second occurrence of 'diffusus'"", ""Authors string looks like this: 'Vahl'"", ""Parsed name complete."", ""Rank estimated as 'species' from name parts."", ""Searched index of 2025-12 for canonical form of name 'Cyperus diffusus' and found 2 candidates."", ""Check all homonyms is selected so not checking author strings."", ""Still no match found."", ""But 2 candidates found.""], ""rest_keys"": [""candidates"", ""error"", ""errorMessage"", ""inputString"", ""match"", ""narrative"", ""params"", ""parsedName"", ""searchString""]}"
Delonix regia (Bojer) Raf.,EXACT,100,Delonix regia (Bojer ex Hook.) Raf.,Delonix regia,2956176,2956176,ACCEPTED,0,Delonix regia,Delonix regia,Delonix regia (Bojer ex Hook.) Raf.,Delonix regia (Bojer ex Hook.) Raf. | Caesalpinia regia (Bojer ex Hook.) D.Dietr. | Delonix regia subsp. flavida Stehle | Delonix regia subsp. genuina Stehle | Delonix regia var. flavida Stehlé | Delonix regia var. genuina Stehlé | Poinciana regia Bojer | Poinciana regia Bojer ex Hook.,8,Delonix regia (Bojer ex Hook.) Raf. | Caesalpinia regia (Bojer ex Hook.) D.Dietr. | Delonix regia subsp. flavida Stehle | Delonix regia subsp. genuina Stehle | Delonix regia var. flavida Stehlé | Delonix regia var. genuina Stehlé | Poinciana regia Bojer | Poinciana regia Bojer ex Hook.,8,Delonix regia (Bojer ex Hook.) Raf. | Delonix regia subsp. flavida Stehle | Delonix regia subsp. genuina Stehle | Delonix regia var. flavida Stehlé | Delonix regia var. genuina Stehlé,5,Flamboyan,Flamboyan | Flamboyant Tree | Flanbwayan | Gold Mohar | July Tree | Krishnochura | Royal Poinciana,7,Delonix regia (Bojer ex Hook.) Raf.,wfo-0000166389,Delonix regia (Bojer ex Hook.) Raf.,Delonix regia (Bojer ex Hook.) Raf.,Poinciana regia Bojer ex Hook. | Delonix regia var. flavida Stehle | Delonix regia var. genuina Stehlé | Caesalpinia regia (Bojer ex Hook.) D.Dietr. | Delonix regia var. flavida Stehlé,5,rest+html,"{""mode"": ""rest+html"", ""input"": ""Delonix regia (Bojer ex Hook.) Raf."", ""wfo_id"": ""wfo-0000166389"", ""full_name_plain"": ""Delonix regia (Bojer ex Hook.) Raf."", ""rest_error"": false, ""rest_narrative"": [""The first word is always a name part word: 'Delonix'"", ""Word is found in index and so is part of name: 'regia'."", ""Word is lowercase. Subsequent words must start with lowercase: 'regia'."", ""Word contains non alpha chars and so is start of author string: '(Bojer'."", ""There are two name parts. This may be an autonym with species authors included. Checking for second occurrence of 'regia'"", ""Authors string looks like this: '(Bojer ex Hook.) Raf.'"", ""Parsed name complete."", ""Rank estimated as 'species' from name parts."", ""Searched index of 2025-12 for canonical form of name 'Delonix regia' and found 1 candidates."", ""Check all homonyms is selected so not checking author strings."", ""Still no match found."", ""But 1 candidates found."", ""A single candidate found and acceptSingleCandidate is true so it becomes the match.""], ""rest_keys"": [""candidates"", ""error"", ""errorMessage"", ""inputString"", ""match"", ""narrative"", ""params"", ""parsedName"", ""searchString""]}"
Dendrocnide excelsa (Wedd.) Chew.,EXACT,100,Dendrocnide excelsa (Wedd.) Chew,Dendrocnide excelsa,4098881,4098881,ACCEPTED,0,Dendrocnide excelsa,Dendrocnide excelsa,Dendrocnide excelsa (Wedd.) Chew,Dendrocnide excelsa (Wedd.) Chew | Laportea gigas Wedd. | Urera excelsa Wedd. | Urera rotundifolia Wedd. | Urtica gigas A.Cunn. | Urtica gigas A.Cunn. ex Heward | Urtica gigas A.Cunn. ex Wedd. | Urticastrum gigas (Wedd.) Kuntze,8,Dendrocnide excelsa (Wedd.) Chew | Urera excelsa Wedd.,2,Dendrocnide excelsa (Wedd.) Chew,1,,,0,Dendrocnide excelsa (Wedd.) Chew,wfo-0000641019,Dendrocnide excelsa (Wedd.) Chew,Dendrocnide excelsa (Wedd.) Chew,Urera rotundifolia Wedd. | Urtica gigas A.Cunn. ex Wedd. | Urera excelsa Wedd. | Laportea gigas Wedd. | Urticastrum gigas (Wedd.) Kuntze,5,rest+html,"{""mode"": ""rest+html"", ""input"": ""Dendrocnide excelsa (Wedd.) Chew"", ""wfo_id"": ""wfo-0000641019"", ""full_name_plain"": ""Dendrocnide excelsa (Wedd.) Chew"", ""rest_error"": false, ""rest_narrative"": [""The first word is always a name part word: 'Dendrocnide'"", ""Word is found in index and so is part of name: 'excelsa'."", ""Word is lowercase. Subsequent words must start with lowercase: 'excelsa'."", ""Word contains non alpha chars and so is start of author string: '(Wedd.)'."", ""There are two name parts. This may be an autonym with species authors included. Checking for second occurrence of 'excelsa'"", ""Authors string looks like this: '(Wedd.) Chew'"", ""Parsed name complete."", ""Rank estimated as 'species' from name parts."", ""Searched index of 2025-12 for canonical form of name 'Dendrocnide excelsa' and found 1 candidates."", ""Check all homonyms is selected so not checking author strings."", ""Still no match found."", ""But 1 candidates found."", ""A single candidate found and acceptSingleCandidate is true so it becomes the match.""], ""rest_keys"": [""candidates"", ""error"", ""errorMessage"", ""inputString"", ""match"", ""narrative"", ""params"", ""parsedName"", ""searchString""]}"
Dichrostachys cinerea (L.) Wight. et Arn.,EXACT,100,Dichrostachys cinerea (L.) Wight & Arn.,Dichrostachys cinerea,2975891,2975891,ACCEPTED,0,Dichrostachys cinerea,Dichrostachys cinerea,Dichrostachys cinerea (L.) Wight & Arn.,Dichrostachys cinerea (L.) Wight & Arn. | Acacia cinerea (L.) Spreng. | Cailliea cinerea (L.) J.F.Macbr. | Cailliea cinerea Roberty | Desmanthus cinereus (L.) Willd. | Dichrostachys cinerea subsp. lugardae (N.E.Br.) Brenan & Brummitt | Dichrostachys cinerea subsp. paucijuga Miq. | Dichrostachys lugardae N.E.Br. | Dichrostachys platycarpa Welw. | Neptunia cinerea (L.) F.Muell.,10,Dichrostachys cinerea (L.) Wight & Arn. | Acacia cinerea (L.) Spreng. | Cailliea cinerea (L.) J.F.Macbr. | Cailliea cinerea Roberty | Dichrostachys cinerea subsp. lugardae (N.E.Br.) Brenan & Brummitt | Dichrostachys cinerea subsp. paucijuga Miq. | Neptunia cinerea (L.) F.Muell.,7,Dichrostachys cinerea (L.) Wight & Arn. | Dichrostachys cinerea subsp. lugardae (N.E.Br.) Brenan & Brummitt | Dichrostachys cinerea subsp. paucijuga Miq. | Dichrostachys lugardae N.E.Br. | Dichrostachys platycarpa Welw.,5,Aroma,Aroma | Batrini/sari batrini | Kalahari-Weihnachtsbaum | acacia Saint Domingue | el marabu | marabou-thorn | marabu | mimosa clochette | sickle bush | sicklebush,10,Dichrostachys cinerea (L.) Wight & Arn.,,,,,0,rest+html,"{""mode"": ""rest+html"", ""input"": ""Dichrostachys cinerea (L.) Wight & Arn."", ""wfo_id"": """", ""full_name_plain"": """", ""rest_error"": false, ""rest_narrative"": [""The first word is always a name part word: 'Dichrostachys'"", ""Word is found in index and so is part of name: 'cinerea'."", ""Word is lowercase. Subsequent words must start with lowercase: 'cinerea'."", ""Word contains non alpha chars and so is start of author string: '(L.)'."", ""There are two name parts. This may be an autonym with species authors included. Checking for second occurrence of 'cinerea'"", ""Authors string looks like this: '(L.) Wight & Arn.'"", ""Parsed name complete."", ""Rank estimated as 'species' from name parts."", ""Searched index of 2025-12 for canonical form of name 'Dichrostachys cinerea' and found 2 candidates."", ""Check all homonyms is selected so not checking author strings."", ""Still no match found."", ""But 2 candidates found.""], ""rest_keys"": [""candidates"", ""error"", ""errorMessage"", ""inputString"", ""match"", ""narrative"", ""params"", ""parsedName"", ""searchString""]}"
