input_name,gbif_matchType,gbif_confidence,gbif_matched_scientificName,gbif_matched_canonicalName,gbif_matched_usageKey,gbif_accepted_usageKey,gbif_accepted_taxonomicStatus,gbif_accepted_hops,gbif_canonicalName,gbif_genus_species,gbif_scientificName,gbif_synonyms,gbif_synonym_count,gbif_synonyms_same_species,gbif_synonyms_same_species_count,gbif_synonyms_same_genus,gbif_synonyms_same_genus_count,gbif_english_name,gbif_english_names,gbif_english_name_count,wfo_input_used,wfo_query_used,wfo_match_wfo_id,wfo_match_full_name,wfo_accepted_name,wfo_synonyms,wfo_synonym_count,wfo_debug,synonyms_in_gbif_not_in_wfo,synonyms_in_wfo_not_in_gbif
Salacca zalacca (Gaertn.) Voss.,EXACT,100,Salacca zalacca (Gaertn.) Voss,Salacca zalacca,2731764,2731764,ACCEPTED,0,Salacca zalacca,Salacca zalacca,Salacca zalacca (Gaertn.) Voss,Salacca zalacca (Gaertn.) Voss | Calamus salakka Willd. | Calamus salakka Willd. ex Steud. | Calamus zalacca Gaertn. | Salacca blumeana Mart. | Salacca edulis Reinw. | Salacca edulis Wall. | Salacca edulis var. amboinensis Becc. | Salacca rumphii Wall. | Salacca zalacca var. amboinensis (Becc.) Mogea | Salakka edulis Reinw. ex Blume | Zalacca edulis Wall.,12,Salacca zalacca (Gaertn.) Voss | Calamus zalacca Gaertn. | Salacca zalacca var. amboinensis (Becc.) Mogea,3,Salacca zalacca (Gaertn.) Voss | Salacca blumeana Mart. | Salacca edulis Reinw. | Salacca edulis Wall. | Salacca edulis var. amboinensis Becc. | Salacca rumphii Wall. | Salacca zalacca var. amboinensis (Becc.) Mogea,7,salak,salak | salak palm | snakefruit,3,Salacca zalacca (Gaertn.) Voss,Salacca zalacca,wfo-0000300111,Salacca zalacca (Gaertn.) Voss,Salacca zalacca (Gaertn.) Voss,Salacca blumeana Mart. | Salacca edulis Reinw. | Salacca edulis var. amboinensis Becc. | Salacca rumphii Wall. | Salacca zalacca var. amboinensis (Becc.) Mogea | Calamus salakka Willd. ex Steud. | Calamus zalacca Gaertn.,7,"{""mode"": ""rest+variants"", ""chosen_query"": ""Salacca zalacca"", ""chosen_params"": {""check_homonyms"": true, ""accept_single_candidate"": true, ""fuzzy_names"": 0, ""fuzzy_authors"": 0, ""chosen_from_candidates"": false}, ""wfo_id"": ""wfo-0000300111"", ""full_name_plain"": ""Salacca zalacca (Gaertn.) Voss"", ""attempts_count"": 1, ""parse"": {""accepted_found"": false, ""synonym_count"": 7}}",Salacca edulis Wall. | Zalacca edulis Wall. | Calamus salakka Willd. | Salacca zalacca (Gaertn.) Voss | Salakka edulis Reinw. ex Blume,
Sauropus androgynus (L.) Merr.,EXACT,100,Sauropus androgynus (L.) Merr.,Sauropus androgynus,6109767,9197670,ACCEPTED,1,Breynia androgyna,Breynia androgyna,Breynia androgyna (L.) Chakrab. & N.P.Balakr.,Sauropus androgynus (L.) Merr. | Aalius androgyna (L.) Kuntze | Aalius oblongifolia (Hook.f.) Kuntze | Aalius sumatrana (Miq.) Kuntze | Agyneia ovata Poir. | Andrachne ovata Lam. | Andrachne ovata Lam. ex Poir. | Clutia androgyna L. | Phyllanthus acidissimus Noronha | Phyllanthus androgynus (L.) Chakrab. & N.P.Balakr. | Phyllanthus androgynus (L.) J.A.González | Phyllanthus speciosus Noronha | Phyllanthus strictus Roxb. | Sauropus albicans Blume | Sauropus albicans var. gardnerianus (Wight) Müll.Arg. | Sauropus albicans var. genuinus Müll.Arg. | Sauropus albicans var. intermedius Müll.Arg. | Sauropus albicans var. zeylanicus (Wight) Müll.Arg. | Sauropus convexus J.J.Sm. | Sauropus gardnerianus Wight | Sauropus indicus Wight | Sauropus macranthus Fern.-Vill. | Sauropus oblongifolius Hook.f. | Sauropus parviflorus Pax & K.Hoffm. | Sauropus scandens C.B.Rob. | Sauropus sumatranus Miq. | Sauropus zeylanicus Wight,27,Aalius androgyna (L.) Kuntze | Clutia androgyna L.,2,,0,Katuk,Katuk | Star gooseberry | star-gooseberry,3,Breynia androgyna (L.) Chakrab. & N.P.Balakr.,Breynia androgyna,wfo-0001424148,Breynia androgyna (L.) Chakrab. & N.P.Balakr.,Breynia androgyna (L.) Chakrab. & N.P.Balakr.,Phyllanthus acidissimus Noronha | Phyllanthus speciosus Noronha | Phyllanthus strictus Roxb. | Sauropus albicans Blume | Sauropus albicans var. gardnerianus (Wight) Müll.Arg. | Sauropus albicans var. intermedius Müll.Arg. | Sauropus albicans var. zeylanicus (Wight) Müll.Arg. | Sauropus androgynus (L.) Merr. | Sauropus convexus J.J.Sm. | Sauropus gardnerianus Wight | Sauropus indicus Wight | Sauropus macranthus Fern.-Vill. | Sauropus oblongifolius Hook.f. | Sauropus parviflorus Pax & K.Hoffm. | Sauropus scandens C.B.Rob. | Sauropus sumatranus Miq. | Sauropus zeylanicus Wight | Aalius androgyna (L.) Kuntze | Clutia androgyna L. | Agyneia ovata Poir. | Aalius oblongifolia (Hook.f.) Kuntze | Aalius sumatrana (Miq.) Kuntze | Andrachne ovata Lam. ex Poir. | Phyllanthus androgynus (L.) Chakrab. & N.P.Balakr. | Sauropus albicans var. genuinus Müll.Arg.,25,"{""mode"": ""rest+variants"", ""chosen_query"": ""Breynia androgyna"", ""chosen_params"": {""check_homonyms"": true, ""accept_single_candidate"": true, ""fuzzy_names"": 0, ""fuzzy_authors"": 0, ""chosen_from_candidates"": false}, ""wfo_id"": ""wfo-0001424148"", ""full_name_plain"": ""Breynia androgyna (L.) Chakrab. & N.P.Balakr."", ""attempts_count"": 1, ""parse"": {""accepted_found"": false, ""synonym_count"": 25}}",Andrachne ovata Lam. | Phyllanthus androgynus (L.) J.A.González,
Selenicereus chrysocardium (Alexander) Kimnach,FUZZY,100,Selenicereus chrysocardius (Alexander) Kimnach,Selenicereus chrysocardius,3942456,5621256,ACCEPTED,1,Epiphyllum chrysocardium,Epiphyllum chrysocardium,Epiphyllum chrysocardium Alexander,Selenicereus chrysocardius (Alexander) Kimnach | Chiapasophyllum chrysocardium (Alexander) Doweld | Marniera chrysocardia (Alexander) Backeb.,3,Chiapasophyllum chrysocardium (Alexander) Doweld,1,,0,,,0,Epiphyllum chrysocardium Alexander,Epiphyllum chrysocardium,wfo-0000670160,Epiphyllum chrysocardium Alexander,Epiphyllum chrysocardium Alexander,Marniera chrysocardia (Alexander) Backeb. | Chiapasophyllum chrysocardium (Alexander) Doweld | Selenicereus chrysocardium (Alexander) Kimnach | Marniera chrysocardium (Alexander) Backeb.,4,"{""mode"": ""rest+variants"", ""chosen_query"": ""Epiphyllum chrysocardium"", ""chosen_params"": {""check_homonyms"": true, ""accept_single_candidate"": true, ""fuzzy_names"": 0, ""fuzzy_authors"": 0, ""chosen_from_candidates"": false}, ""wfo_id"": ""wfo-0000670160"", ""full_name_plain"": ""Epiphyllum chrysocardium Alexander"", ""attempts_count"": 1, ""parse"": {""accepted_found"": false, ""synonym_count"": 4}}",Selenicereus chrysocardius (Alexander) Kimnach,Marniera chrysocardium (Alexander) Backeb. | Selenicereus chrysocardium (Alexander) Kimnach
Setaria palmifolia (Koenig) Stapf,EXACT,100,Setaria palmifolia (J.Koenig) Stapf,Setaria palmifolia,2702958,2702958,ACCEPTED,0,Setaria palmifolia,Setaria palmifolia,Setaria palmifolia (J.Koenig) Stapf,Setaria palmifolia (J.Koenig) Stapf | Agrostis plicata Lour. | Chaetochloa effusa (E.Fourn.) Hitchc. | Chaetochloa palmifolia (J.Koenig) Hitchc. & Chase | Chaetochloa sulcata (Aubl.) Hitchc. | Chamaeraphis effusa (E.Fourn.) Kuntze | Chamaeraphis nepalensis (Spreng.) Kuntze | Chamaeraphis neurodes (Schult.) Kuntze | Chamaeraphis palmifolia (J.Koenig) Kuntze | Chamaeraphis paniculifera (Steud.) Kuntze | Chamaeraphis sulcata (Aubl.) Kuntze | Panicum amplissimum Steud. | Panicum kleinianum Nees | Panicum kleinianum Nees ex Andersson | Panicum lene Steud. | Panicum mexicanum Scribn. & Merr. | Panicum nepalense Spreng. | Panicum nervosum Roxb. | Panicum neurodes Schult. | Panicum neurodes var. amplissimum (Steud.) A.Braun | Panicum neurodes var. amplissimum (Steud.) Walp. | Panicum neurodes var. conjungens A.Braun | Panicum neurodes var. kleinianum A.Braun | Panicum neurodes var. lene (Steud.) A.Braun | Panicum neurodes var. lene (Steud.) Walp. | Panicum neurodes var. roxburghianum A.Braun | Panicum neurodes var. thwaitesii A.Braun | Panicum palmaefolium J.König | Panicum palmatum R.Schleich. | Panicum palmifolium J.Koenig | Panicum palmifolium Willd. | Panicum palmifolium Willd. ex Poir. | Panicum paniculiferum Steud. | Panicum plicatum Roxb. | Panicum plicatum Willd. | Panicum plicatum subsp. haitiense Griseb. | Panicum plicatum var. haitiense Griseb. | Panicum sulcatum Aubl. | Setaria effusa E.Fourn. | Setaria lenis (Steud.) Miq. | Setaria palmifolia var. palmifolia | Setaria paniculifera (Steud.) E.Fourn. | Setaria paniculifera (Steud.) E.Fourn. ex Hemsl. | Setaria sulcata (Aubl.) A.Camus | Setaria sulcata (Aubl.) Desv.,45,Setaria palmifolia (J.Koenig) Stapf | Chaetochloa palmifolia (J.Koenig) Hitchc. & Chase | Chamaeraphis palmifolia (J.Koenig) Kuntze | Setaria palmifolia var. palmifolia,4,Setaria palmifolia (J.Koenig) Stapf | Setaria effusa E.Fourn. | Setaria lenis (Steud.) Miq. | Setaria palmifolia var. palmifolia | Setaria paniculifera (Steud.) E.Fourn. | Setaria paniculifera (Steud.) E.Fourn. ex Hemsl. | Setaria sulcata (Aubl.) A.Camus | Setaria sulcata (Aubl.) Desv.,8,Palmgrass,Broadleaved bristlegrass | Palmgrass | hailans pitpit | highland pitpit | palm grass | short pitpit,6,Setaria palmifolia (J.Koenig) Stapf,Setaria palmifolia,wfo-0000899427,Setaria palmifolia (J.Koenig) Stapf,Setaria palmifolia (J.Koenig) Stapf,Agrostis plicata Lour. | Chaetochloa effusa (E.Fourn.) Hitchc. | Chaetochloa palmifolia (J.Koenig) Hitchc. & Chase | Chaetochloa sulcata (Aubl.) Hitchc. | Chamaeraphis effusa (E.Fourn.) Kuntze | Chamaeraphis nepalensis (Spreng.) Kuntze | Chamaeraphis neurodes (Schult.) Kuntze | Chamaeraphis palmifolia (J.Koenig) Kuntze | Chamaeraphis paniculifera (Steud.) Kuntze | Chamaeraphis sulcata (Aubl.) Kuntze | Panicum amplissimum Steud. | Panicum kleinianum Nees ex Andersson | Panicum lene Steud. | Panicum mexicanum Scribn. & Merr. | Panicum nepalense Spreng. | Panicum nervosum Roxb. | Panicum neurodes Schult. | Panicum palmatum R.Schleich. | Panicum palmifolia J.Koenig | Panicum palmifolium J.Koenig | Panicum paniculiferum Steud. | Panicum plicatum Willd. | Panicum sulcatum Aubl. | Setaria effusa E.Fourn. | Setaria lenis (Steud.) Miq. | Setaria paniculifera E.Fourn. | Setaria sulcata (Aubl.) Desv. | Panicum plicatum Roxb. | Setaria paniculifera (Steud.) E.Fourn. ex Hemsl. | Setaria palmifolia var. palmifolia | Panicum neurodes var. amplissimum (Steud.) Walp. | Panicum neurodes var. lene (Steud.) Walp. | Panicum plicatum var. haitiense Griseb. | Panicum neurodes var. kleinianum A.Braun | Panicum neurodes var. conjungens A.Braun | Panicum neurodes var. thwaitesii A.Braun | Panicum neurodes var. roxburghianum A.Braun,37,"{""mode"": ""rest+variants"", ""chosen_query"": ""Setaria palmifolia"", ""chosen_params"": {""check_homonyms"": true, ""accept_single_candidate"": true, ""fuzzy_names"": 0, ""fuzzy_authors"": 0, ""chosen_from_candidates"": false}, ""wfo_id"": ""wfo-0000899427"", ""full_name_plain"": ""Setaria palmifolia (J.Koenig) Stapf"", ""attempts_count"": 1, ""parse"": {""accepted_found"": false, ""synonym_count"": 37}}",Panicum kleinianum Nees | Panicum palmifolium Willd. | Panicum palmaefolium J.König | Setaria sulcata (Aubl.) A.Camus | Panicum palmifolium Willd. ex Poir. | Setaria palmifolia (J.Koenig) Stapf | Setaria paniculifera (Steud.) E.Fourn. | Panicum plicatum subsp. haitiense Griseb. | Panicum neurodes var. lene (Steud.) A.Braun | Panicum neurodes var. amplissimum (Steud.) A.Braun,Panicum palmifolia J.Koenig | Setaria paniculifera E.Fourn.
Solandra maxima (Sessé et Moc.) P.Green.,EXACT,100,Solandra maxima (Moc. & Sessé) P.S.Green,Solandra maxima,5581538,5581538,ACCEPTED,0,Solandra maxima,Solandra maxima,Solandra maxima (Moc. & Sessé) P.S.Green,Solandra maxima (Moc. & Sessé) P.S.Green | Datura maxima Moc. & Sessé ex Dunal | Datura maxima Moc. & Sessé ex Moc. & Sessé | Solandra hartwegii N.E.Br. | Solandra hartwegii N.E.Br. ex C.F.Ball | Solandra selerae Dammer ex Loes.,6,Solandra maxima (Moc. & Sessé) P.S.Green | Datura maxima Moc. & Sessé ex Dunal | Datura maxima Moc. & Sessé ex Moc. & Sessé,3,Solandra maxima (Moc. & Sessé) P.S.Green | Solandra hartwegii N.E.Br. | Solandra hartwegii N.E.Br. ex C.F.Ball | Solandra selerae Dammer ex Loes.,4,chalice cup vine,chalice cup vine,1,Solandra maxima (Moc. & Sessé) P.S.Green,Solandra maxima,wfo-0001025619,Solandra maxima (Sessé & Moc.) P.S.Green,Solandra maxima (Sessé & Moc.) P.S.Green,Datura maxima Sessé & Moc. ex Dunal | Solandra grandiflora var. nitida (Zucc.) Voss | Solandra hartwegii N.E.Br. | Solandra nitida Zuccagni | Solandra selerae Dammer | Swartzia nitida (Zuccagni) Standl.,6,"{""mode"": ""rest+variants"", ""chosen_query"": ""Solandra maxima"", ""chosen_params"": {""check_homonyms"": true, ""accept_single_candidate"": true, ""fuzzy_names"": 0, ""fuzzy_authors"": 0, ""chosen_from_candidates"": false}, ""wfo_id"": ""wfo-0001025619"", ""full_name_plain"": ""Solandra maxima (Sessé & Moc.) P.S.Green"", ""attempts_count"": 1, ""parse"": {""accepted_found"": false, ""synonym_count"": 6}}",Solandra selerae Dammer ex Loes. | Datura maxima Moc. & Sessé ex Dunal | Solandra hartwegii N.E.Br. ex C.F.Ball | Solandra maxima (Moc. & Sessé) P.S.Green | Datura maxima Moc. & Sessé ex Moc. & Sessé,Solandra selerae Dammer | Solandra nitida Zuccagni | Swartzia nitida (Zuccagni) Standl. | Datura maxima Sessé & Moc. ex Dunal | Solandra grandiflora var. nitida (Zucc.) Voss
Spathiphyllum cochlearispatum (Liebm.) Engl.,FUZZY,100,Spathiphyllum cochlearispathum (Liebm.) Engl.,Spathiphyllum cochlearispathum,2869661,2869661,ACCEPTED,0,Spathiphyllum cochlearispathum,Spathiphyllum cochlearispathum,Spathiphyllum cochlearispathum (Liebm.) Engl.,Spathiphyllum cochlearispathum (Liebm.) Engl. | Hydnostachyon cochlearispathum Liebm. | Hydnostachyon longirostre Liebm. | Massowia heliconiifolia (Schott) K.Koch | Massowia lanceolata K.Koch | Spathiphyllum cochlearispathum var. longirostre (Liebm.) Engl. | Spathiphyllum heliconiifolium Schott | Spathiphyllum lacustre Lundell | Spathiphyllum lanceolatum (K.Koch) K.Koch | Spathiphyllum liebmannii Schott | Spathiphyllum longirostre (Liebm.) Schott,11,Spathiphyllum cochlearispathum (Liebm.) Engl. | Hydnostachyon cochlearispathum Liebm. | Spathiphyllum cochlearispathum var. longirostre (Liebm.) Engl.,3,Spathiphyllum cochlearispathum (Liebm.) Engl. | Spathiphyllum cochlearispathum var. longirostre (Liebm.) Engl. | Spathiphyllum heliconiifolium Schott | Spathiphyllum lacustre Lundell | Spathiphyllum lanceolatum (K.Koch) K.Koch | Spathiphyllum liebmannii Schott | Spathiphyllum longirostre (Liebm.) Schott,7,,,0,Spathiphyllum cochlearispathum (Liebm.) Engl.,Spathiphyllum cochlearispathum,wfo-0000312000,Spathiphyllum cochlearispathum (Liebm.) Engl.,Spathiphyllum cochlearispathum (Liebm.) Engl.,Hydnostachyon cochlearispathum Liebm. | Hydnostachyon longirostre Liebm. | Massowia heliconiifolia (Schott) K.Koch | Massowia lanceolata K.Koch | Spathiphyllum heliconiifolium Schott | Spathiphyllum lacustre Lundell | Spathiphyllum lanceolatum (K.Koch) K.Koch | Spathiphyllum liebmannii Schott | Spathiphyllum longirostre Schott | Spathiphyllum cochlearispathum var. longirostre (Liebm.) Engl.,10,"{""mode"": ""rest+variants"", ""chosen_query"": ""Spathiphyllum cochlearispathum"", ""chosen_params"": {""check_homonyms"": true, ""accept_single_candidate"": true, ""fuzzy_names"": 0, ""fuzzy_authors"": 0, ""chosen_from_candidates"": false}, ""wfo_id"": ""wfo-0000312000"", ""full_name_plain"": ""Spathiphyllum cochlearispathum (Liebm.) Engl."", ""attempts_count"": 1, ""parse"": {""accepted_found"": false, ""synonym_count"": 10}}",Spathiphyllum longirostre (Liebm.) Schott | Spathiphyllum cochlearispathum (Liebm.) Engl.,Spathiphyllum longirostre Schott
Spathodea campanulata Beauv.,EXACT,100,Spathodea campanulata Beauverd,Spathodea campanulata,3172574,3172574,ACCEPTED,0,Spathodea campanulata,Spathodea campanulata,Spathodea campanulata Beauverd,Spathodea campanulata Beauverd | Bignonia tulipifera Schum. | Bignonia tulipifera Thonn. | Spathodea campanulata subsp. congolana Bidgood | Spathodea campanulata subsp. nilotica (Seem.) Bidgood | Spathodea danckelmaniana Büttner | Spathodea nilotica Seem. | Spathodea nilotica f. bryanii O.Deg. & I.Deg. | Spathodea tulipifera (Schum.) G.Don,9,Spathodea campanulata Beauverd | Spathodea campanulata subsp. congolana Bidgood | Spathodea campanulata subsp. nilotica (Seem.) Bidgood,3,Spathodea campanulata Beauverd | Spathodea campanulata subsp. congolana Bidgood | Spathodea campanulata subsp. nilotica (Seem.) Bidgood | Spathodea danckelmaniana Büttner | Spathodea nilotica Seem. | Spathodea nilotica f. bryanii O.Deg. & I.Deg. | Spathodea tulipifera (Schum.) G.Don,7,Nandi Flame,"African Tulip Tree | African tulip tree, Fireball, Flame of the forest, Fountain tree | African tuliptree | African-tuliptree | Afrikanischer Tulpenbaum | Amani mtsiritsiri, Angaia ngogoma | Fountain Tree | Indian Cedar | Mpapakojo, Mbe ramu | Nandi Flame | Santo Domingo Mahogany",11,Spathodea campanulata Beauverd,Spathodea campanulata,wfo-0000779723,Spathodea campanulata P.Beauv.,Spathodea campanulata P.Beauv.,Bignonia tulipifera Thonn.,1,"{""mode"": ""rest+variants"", ""chosen_query"": ""Spathodea campanulata"", ""chosen_params"": {""check_homonyms"": true, ""accept_single_candidate"": false, ""fuzzy_names"": 0, ""fuzzy_authors"": 0, ""chosen_from_candidates"": true}, ""wfo_id"": ""wfo-0000779723"", ""full_name_plain"": ""Spathodea campanulata P.Beauv."", ""attempts_count"": 2, ""parse"": {""accepted_found"": false, ""synonym_count"": 1}}",Spathodea nilotica Seem. | Bignonia tulipifera Schum. | Spathodea campanulata Beauverd | Spathodea danckelmaniana Büttner | Spathodea tulipifera (Schum.) G.Don | Spathodea nilotica f. bryanii O.Deg. & I.Deg. | Spathodea campanulata subsp. congolana Bidgood | Spathodea campanulata subsp. nilotica (Seem.) Bidgood,
Spondias dulcis,EXACT,99,Spondias dulcis Parkinson,Spondias dulcis,3190595,3190595,ACCEPTED,0,Spondias dulcis,Spondias dulcis,Spondias dulcis Parkinson,"Spondias dulcis Parkinson | Chrysomelon pomiferum G.Forst. | Chrysomelon pomiferum G.Forst. ex A.Gray | Cytheraea dulcis (Parkinson) Wight & Arn. | Evia acida Blume | Evia amara var. tuberculosa Blume | Evia dulcis (Parkinson) Comm. | Evia dulcis (Parkinson) Comm. ex Blume | Evia dulcis (Parkinson) Kosterm. | Poupartia dulcis (Parkinson) Blume | Spondias acida Blume | Spondias cythera Sonn. | Spondias cytherea Sonn. | Spondias dulcis Sol. | Spondias dulcis Sol. ex G.Forst. | Spondias dulcis var. acida (Blume) Engl. | Spondias dulcis var. commersonii Engl. | Spondias dulcis var. dulcis | Spondias dulcis var. integra Engl. | Spondias dulcis var. mucroniserrata Engl. | Spondias dulcis var. mucroserrata Engl., 1883 | Spondias fragrans Pav. | Spondias fragrans Pav. ex Engl. | Spondias longifolia Roxb. | Spondias lutea P.Royen | Spondias lutea P.Royen ex Blume | Spondias therebintoides P.Royen | Spondias therebintoides P.Royen ex Blume",28,"Spondias dulcis Parkinson | Cytheraea dulcis (Parkinson) Wight & Arn. | Evia dulcis (Parkinson) Comm. | Evia dulcis (Parkinson) Comm. ex Blume | Evia dulcis (Parkinson) Kosterm. | Poupartia dulcis (Parkinson) Blume | Spondias dulcis Sol. | Spondias dulcis Sol. ex G.Forst. | Spondias dulcis var. acida (Blume) Engl. | Spondias dulcis var. commersonii Engl. | Spondias dulcis var. dulcis | Spondias dulcis var. integra Engl. | Spondias dulcis var. mucroniserrata Engl. | Spondias dulcis var. mucroserrata Engl., 1883",14,"Spondias dulcis Parkinson | Spondias acida Blume | Spondias cythera Sonn. | Spondias cytherea Sonn. | Spondias dulcis Sol. | Spondias dulcis Sol. ex G.Forst. | Spondias dulcis var. acida (Blume) Engl. | Spondias dulcis var. commersonii Engl. | Spondias dulcis var. dulcis | Spondias dulcis var. integra Engl. | Spondias dulcis var. mucroniserrata Engl. | Spondias dulcis var. mucroserrata Engl., 1883 | Spondias fragrans Pav. | Spondias fragrans Pav. ex Engl. | Spondias longifolia Roxb. | Spondias lutea P.Royen | Spondias lutea P.Royen ex Blume | Spondias therebintoides P.Royen | Spondias therebintoides P.Royen ex Blume",19,Jew-plum,Ambarella | Golden Apple / Amra | Jew-plum | Jewish plum | Otaheite-apple | Polynesian plum | Polynesian-plum | Sakonga | Sakwa,9,Spondias dulcis Parkinson,Spondias dulcis,wfo-0000435462,Spondias dulcis G.Forst.,Spondias dulcis G.Forst.,Poupartia dulcis (Parkinson) Blume | Spondias acida Blume | Spondias longifolia Roxb. | Spondias cytherea Sonn. | Spondias fragrans Pav. ex Engl. | Spondias therebintoides Royen ex Blume | Chrysomelon pomiferum Forst ex A.Gray | Cytheraea dulcis (Parkinson) Wight & Arn. | Evia acida Blume | Evia dulcis (Parkinson) Comm. ex Blume | Evia dulcis (Parkinson) Kosterm. | Spondias dulcis var. mucroniserrata Engl.,12,"{""mode"": ""rest+variants"", ""chosen_query"": ""Spondias dulcis"", ""chosen_params"": {""check_homonyms"": true, ""accept_single_candidate"": true, ""fuzzy_names"": 0, ""fuzzy_authors"": 0, ""chosen_from_candidates"": false}, ""wfo_id"": ""wfo-0000435462"", ""full_name_plain"": ""Spondias dulcis G.Forst."", ""attempts_count"": 1, ""parse"": {""accepted_found"": false, ""synonym_count"": 12}}","Spondias dulcis Sol. | Spondias cythera Sonn. | Spondias fragrans Pav. | Spondias lutea P.Royen | Spondias dulcis Parkinson | Spondias dulcis var. dulcis | Evia dulcis (Parkinson) Comm. | Chrysomelon pomiferum G.Forst. | Spondias lutea P.Royen ex Blume | Spondias therebintoides P.Royen | Spondias dulcis Sol. ex G.Forst. | Evia amara var. tuberculosa Blume | Spondias dulcis var. integra Engl. | Spondias dulcis var. commersonii Engl. | Chrysomelon pomiferum G.Forst. ex A.Gray | Spondias dulcis var. acida (Blume) Engl. | Spondias therebintoides P.Royen ex Blume | Spondias dulcis var. mucroserrata Engl., 1883",Chrysomelon pomiferum Forst ex A.Gray | Spondias therebintoides Royen ex Blume
Spondias mombin L.,EXACT,100,Spondias mombin L.,Spondias mombin,3190593,3190593,DOUBTFUL,0,Spondias mombin,Spondias mombin,Spondias mombin L.,Spondias mombin L. | Myrobalanus lutea Macfad | Spondias mambin L.,3,Spondias mombin L.,1,Spondias mombin L. | Spondias mambin L.,2,Hogplum,Hogplum | Jamaica-plum,2,Spondias mombin L.,Spondias mombin,wfo-0000435470,Spondias mombin L.,Spondias mombin L.,Mauria juglandifolia Benth. ex Engl. | Spondias brasiliensis Mart. ex Engl. | Spondias cirouella Tussac | Spondias lucida Salisb. | Spondias lutea L. | Spondias maxima Engl. | Spondias glabra Engl. | Spondias lutea var. glabra Engl. | Spondias lutea var. maxima Engl. | Spondias dubia A.Rich. | Spondias pseudomyrobalanus Tussac | Spondias aurantiaca Schumach. & Thonn. | Spondias graveolens Macfad. | Spondias myrobalanus L. | Spondias mombin var. mombin | Spondias cytherea Tussac,16,"{""mode"": ""rest+variants"", ""chosen_query"": ""Spondias mombin"", ""chosen_params"": {""check_homonyms"": true, ""accept_single_candidate"": true, ""fuzzy_names"": 0, ""fuzzy_authors"": 0, ""chosen_from_candidates"": false}, ""wfo_id"": ""wfo-0000435470"", ""full_name_plain"": ""Spondias mombin L."", ""attempts_count"": 1, ""parse"": {""accepted_found"": false, ""synonym_count"": 16}}",Spondias mambin L. | Spondias mombin L. | Myrobalanus lutea Macfad,Spondias lutea L. | Spondias glabra Engl. | Spondias maxima Engl. | Spondias dubia A.Rich. | Spondias lucida Salisb. | Spondias myrobalanus L. | Spondias cytherea Tussac | Spondias cirouella Tussac | Spondias graveolens Macfad. | Spondias mombin var. mombin | Spondias lutea var. glabra Engl. | Spondias lutea var. maxima Engl. | Spondias pseudomyrobalanus Tussac | Mauria juglandifolia Benth. ex Engl. | Spondias brasiliensis Mart. ex Engl. | Spondias aurantiaca Schumach. & Thonn.
Strelitzia alba (L.) Skeels.,EXACT,100,Strelitzia alba (L.f.) Skeels,Strelitzia alba,2763106,2763106,ACCEPTED,0,Strelitzia alba,Strelitzia alba,Strelitzia alba (L.f.) Skeels,Strelitzia alba (L.f.) Skeels | Heliconia alba L.f. | Heliconia augusta Salisb. | Strelitzia alba subsp. augusta (Thunb.) Maire & Weiller | Strelitzia angusta D.Dietr. | Strelitzia augusta Thunb.,6,Strelitzia alba (L.f.) Skeels | Heliconia alba L.f. | Strelitzia alba subsp. augusta (Thunb.) Maire & Weiller,3,Strelitzia alba (L.f.) Skeels | Strelitzia alba subsp. augusta (Thunb.) Maire & Weiller | Strelitzia angusta D.Dietr. | Strelitzia augusta Thunb.,4,,,0,Strelitzia alba (L.f.) Skeels,Strelitzia alba,wfo-0000561814,Strelitzia alba (L.f.) Skeels,Strelitzia alba (L.f.) Skeels,Heliconia alba L.f. | Heliconia augusta Salisb. | Strelitzia alba subsp. augusta (Thunb.) Maire & Weiller | Strelitzia angusta D.Dietr. | Strelitzia augusta Thunb.,5,"{""mode"": ""rest+variants"", ""chosen_query"": ""Strelitzia alba"", ""chosen_params"": {""check_homonyms"": true, ""accept_single_candidate"": true, ""fuzzy_names"": 0, ""fuzzy_authors"": 0, ""chosen_from_candidates"": false}, ""wfo_id"": ""wfo-0000561814"", ""full_name_plain"": ""Strelitzia alba (L.f.) Skeels"", ""attempts_count"": 1, ""parse"": {""accepted_found"": false, ""synonym_count"": 5}}",Strelitzia alba (L.f.) Skeels,
